,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
307,ROOFTOP,"610 Bridge St, Humboldt, KS 66748, USA",ChIJGUS62wFfuIcR0C_LZEwfja0,J & J Bakery Inc,37.811465,-95.4390719,1,66748,OK,"accounting,establishment,finance,point_of_interest"
308,ROOFTOP,"610 Bridge St, Humboldt, KS 66748, USA",ChIJGUS62wFfuIcR0C_LZEwfja0,J & J Bakery Cafe,37.811465,-95.4390719,1,66748,OK,"accounting,establishment,finance,point_of_interest"
309,,,,Righteous Brother Catering Co,,,0,,ZERO_RESULTS,
310,ROOFTOP,"3385 Mission St, San Francisco, CA 94110, USA",ChIJ6QRlLl1-j4ARgjKJIcoazj4,Oye Managua,37.74234440000001,-122.4217093,1,94110,OK,"establishment,food,point_of_interest,restaurant"
311,ROOFTOP,"709 N 20th St, Independence, KS 67301, USA",ChIJ9f5h7E4ruIcRCwhMSCAy19U,Beverage & Food Group Inc,37.2302756,-95.7235013,1,67301,OK,"establishment,point_of_interest"
312,ROOFTOP,"1280 Springfield Ave, Irvington, NJ 07111, USA",ChIJlctELeisw4kRQvwQRHcrRcg,Big Joe's,40.7246973,-74.2421012,1,07111,OK,"establishment,food,point_of_interest,restaurant"
313,ROOFTOP,"2401 E 32nd St, Joplin, MO 64804, USA",ChIJj5B8O1t7yIcR43CY114Dvk4,Panera Bread,37.055497,-94.48869,1,64804,OK,"bakery,cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store"
314,ROOFTOP,"233 S Maple Ave, South San Francisco, CA 94080, USA",ChIJ0bAtMLp5j4ARoaYLhBA-KOw,Eh Products Inc,37.6454397,-122.4156471,1,94080,OK,"establishment,point_of_interest"
315,,,,Baysubway 02,,,0,,ZERO_RESULTS,
316,ROOFTOP,"408 Irving St, San Francisco, CA 94122, USA",ChIJy4z46FuHhYAR5U-1Sj2Ue7Q,Koo,37.7643835,-122.4623535,1,94122,OK,"establishment,food,point_of_interest,restaurant"
317,ROOFTOP,"120 N Baltimore Ave, Derby, KS 67037, USA",ChIJIaL4l9TvuocRUBbNbvlkTMU,Fire House Cafe,37.543939,-97.26985599999999,1,67037,OK,"establishment,food,point_of_interest,restaurant"
318,ROOFTOP,"293 Bayshore Blvd, San Francisco, CA 94124, USA",ChIJmfNfeFR-j4ARTGYCfuWmmtE,Balance Catering,37.7431744,-122.4048045,1,94124,OK,"establishment,food,point_of_interest,store"
319,ROOFTOP,"3040 Taraval, San Francisco, CA 94116, USA",ChIJq8Kn7Xt9j4ARry1Mh57xUgo,Wins Restaurant,37.7421861,-122.4989104,2,94116,OK,"establishment,food,point_of_interest,restaurant"
320,ROOFTOP,"6 Claude Ln, San Francisco, CA 94108, USA",ChIJrYAFoImAhYARO6Csx0RNX0U,Gitane Restaurant,37.7903375,-122.4042771,1,94108,OK,"bar,establishment,food,point_of_interest,restaurant"
321,ROOFTOP,"2495 3rd St, San Francisco, CA 94107, USA",ChIJf5sXibl_j4AR5wRLyjqQelU,Serpentine,37.7581481,-122.3880873,1,94107,OK,"establishment,food,point_of_interest,restaurant"
322,ROOFTOP,"1501 Ocean Ave, San Francisco, CA 94112, USA",ChIJr1Ypf819j4ARiAgqm6RlQRI,Lucky Ocean Cafe,37.7242199,-122.4583797,1,94112,OK,"cafe,establishment,food,point_of_interest,restaurant,store"
323,ROOFTOP,"418 S Washington Ave, Royal Oak, MI 48067, USA",ChIJz7YgDEHPJIgRsOd__yxzKVk,Cafe Muse,42.4866698,-83.1469374,2,48067,OK,"bar,cafe,establishment,food,point_of_interest,restaurant"
324,ROOFTOP,"510 E Broadway, Long Beach, CA 90802, USA",ChIJlVhoKDwx3YARuUiUL78Fbd8,Mangosteen Restaurant,33.7691848,-118.1859735,1,90802,OK,"establishment,food,point_of_interest,restaurant"
325,ROOFTOP,"1398 Mission St, San Francisco, CA 94103, USA",ChIJwWFeq52AhYARTvqup77A3MQ,Cumaica Coffee-10th,37.77551,-122.415915,1,94103,OK,"cafe,establishment,food,point_of_interest"
326,ROOFTOP,"1398 Mission St, San Francisco, CA 94118, USA",ChIJ2-rg1juHhYARWZothsC8DKc,Cumaica Coffee-Clement,37.775538,-122.415912,1,94118,OK,"cafe,establishment,food,point_of_interest,store"
327,GEOMETRIC_CENTER,"Alta Plaza Park, Jackson St. & Steiner St., San Francisco, CA 94115, United States",ChIJnS-EJM-AhYARYX4zAkEVsP8,Alta Plaza,37.7911417,-122.4376241,2,94115,OK,"establishment,park,point_of_interest"
328,ROOFTOP,"354 Clement St, San Francisco, CA 94118, USA",ChIJH2M89juHhYARHaEPtzXbxPA,Shabu House,37.7831271,-122.4632297,1,94118,OK,"establishment,food,point_of_interest,restaurant"
329,ROOFTOP,"7530 NE Martin Luther King Jr Blvd, Portland, OR 97211, USA",ChIJ97HiS1SmlVQRPHA6apoddSM,Sparky's Pizza & Diner,45.577776,-122.6609862,1,97211,OK,"establishment,food,point_of_interest,restaurant"
330,ROOFTOP,"3398 Balboa St # A, San Francisco, CA 94121, USA",ChIJz2R6S6aHhYARbhnWZ8UhUNs,Jook Time Inc,37.7759356,-122.495049,1,94121,OK,"establishment,food,point_of_interest,restaurant"
331,ROOFTOP,"701 Larkin St, San Francisco, CA 94109, USA",ChIJf_6yHZCAhYARPLHICGeJgBM,Ha Nam Ninh Restaurant,37.7843739,-122.4180698,1,94109,OK,"establishment,food,point_of_interest,restaurant"
332,ROOFTOP,"1617 Main St, Kansas City, MO 64108, USA",ChIJPVU_nULwwIcRYZ1IkQD8ESg,Nara Sushi,39.0938571,-94.5833279,1,64108,OK,"bar,establishment,food,point_of_interest,restaurant"
333,ROOFTOP,"1 Market St # 347, San Francisco, CA 94105, USA",ChIJLdqXpGaAhYARarMgCZk87Gk,Lark Creek Management Llc,37.793992,-122.3948962,1,94105,OK,"establishment,food,point_of_interest,restaurant"
334,ROOFTOP,"123 S Baltimore Ave, Derby, KS 67037, USA",ChIJgWbeUyvuuocRyyCAHIhKR90,Crispy 'N Chips,37.5423638,-97.27051569999999,1,67037,OK,"establishment,food,point_of_interest,restaurant"
335,ROOFTOP,"184 O'Farrell St, San Francisco, CA 94102, USA",ChIJi7qIN4-AhYARthMQbuaA1gU,King Of Thai Noodle House& Bar,37.786658,-122.407745,1,94102,OK,"establishment,food,point_of_interest,restaurant"
336,ROOFTOP,"103 Owen Walters Blvd, Salina, OK 74365, USA",ChIJi1C4XdcltocR8y8Eo8C3d4I,Subway Sandwich #29398,36.2925182,-95.1475808,1,74365,OK,"establishment,food,point_of_interest,restaurant"
337,ROOFTOP,"Ferry Building, One San Francisco Bay Trail #8, San Francisco, CA 94111, USA",ChIJWUj0iEh-j4ARPJYe1823nnU,Humphry Slocombe Llc,37.79569,-122.393693,2,94111,OK,"establishment,food,point_of_interest,store"
338,ROOFTOP,"425 Littlefield Ave, South San Francisco, CA 94080, USA",ChIJ7xY-R0l4j4AR9W9mZQHWwTI,James Standfield Catering,37.6503945,-122.3953391,1,94080,OK,"establishment,food,point_of_interest"
339,ROOFTOP,"609 Hayes St, San Francisco, CA 94102, USA",ChIJIzx5TqKAhYARYeTIxZN4m4o,Bar Jules,37.7762706,-122.4265293,1,94102,OK,"establishment,food,point_of_interest,restaurant"
340,ROOFTOP,"122 Roseland Dr, Luling, LA 70070, USA",ChIJC3_aGyrHIIYRyVP3lZ2pboY,Van Electric,29.8864048,-90.33639,1,70070,OK,"electrician,establishment,point_of_interest"
341,ROOFTOP,"4845 Mission St, San Francisco, CA 94112, USA",ChIJP6ODBYV-j4ARVvW4_ahiGgo,Mission Noodle House,37.7207994,-122.4374801,1,94112,OK,"establishment,food,point_of_interest,restaurant"
342,ROOFTOP,"800 Van Ness Ave, San Francisco, CA 94109, USA",ChIJrVJzEJeAhYARXTba4vYzCws,Creative Sushi Catering,37.7830748,-122.4206163,1,94109,OK,"establishment,food,point_of_interest"
343,ROOFTOP,"9234 Park Meadows Dr #100, Lone Tree, CO 80124, USA",ChIJD9hOz6iFbIcRQF3Nghj9Opg,Pisco,39.554435,-104.8823479,1,80124,OK,"establishment,food,point_of_interest,restaurant"
344,,,,House Of Pisco,,,0,,ZERO_RESULTS,
345,ROOFTOP,"736 Alfred Nobel Dr, Hercules, CA 94547, USA",ChIJPa_s3852hYARAp8r9Ny_zZ8,Gelateria Naia,38.0202985,-122.2738473,2,94547,OK,"establishment,point_of_interest"
346,ROOFTOP,"12500 East 86th St N #106, Owasso, OK 74055, USA",ChIJ8yUPD5bwtocRLACsJXNYj3U,Nook,36.277909,-95.83374599999999,1,74055,OK,"establishment,point_of_interest,store"
347,ROOFTOP,"605 Middle Neck Rd, Great Neck, NY 11023, USA",ChIJc76FWHeJwokRPC7V5UZcrQ0,Bistro Burger,40.802808,-73.735826,1,11023,OK,"establishment,food,point_of_interest,restaurant"
348,,,,Snyderman Restaurant Managemen,,,0,,ZERO_RESULTS,
349,ROOFTOP,"3287 21st St, San Francisco, CA 94110, USA",ChIJj2yXhT5-j4AR4miwjl6R4i8,Sidewalk Juice Bar,37.7568288,-122.4208236,1,94110,OK,"establishment,food,point_of_interest"
350,ROOFTOP,"1100 Larsen Park Rd, Sioux City, IA 51103, USA",ChIJa9bJeZ0HjocR4K_kicANRLQ,Crave,42.489427,-96.420932,1,51103,OK,"bar,establishment,food,point_of_interest,restaurant"
351,,,,Intl House Of Pancakes Inc,,,0,,ZERO_RESULTS,
352,ROOFTOP,"8019, 3810 Gattis School Rd Ste. 106, Round Rock, TX 78664, United States",ChIJZaDzaAfQRIYRomrpAvWcyWU,Urban Picnic,30.4975261,-97.6121675,1,78664,OK,"establishment,food,point_of_interest,restaurant,store"
353,ROOFTOP,"576 Haight St, San Francisco, CA 94117, USA",ChIJU8wGk6aAhYARW4WqEGx2HNE,Memphis Minnie's Bbq Joint,37.7720621,-122.4316847,1,94117,OK,"establishment,food,point_of_interest,restaurant"
354,ROOFTOP,"1103 S Peoria Ave, Tulsa, OK 74120, USA",ChIJj57q2ITstocRpdUJp3p5dsw,My Corner Cafe Inc,36.1477767,-95.9754165,1,74120,OK,"establishment,food,point_of_interest,restaurant"
355,ROOFTOP,"2132 N Rock Rd, Wichita, KS 67206, USA",ChIJhZA24179uocRQ87wrJqkCAU,Cocoa,37.7211356,-97.243361,1,67206,OK,"bar,cafe,establishment,food,night_club,point_of_interest,store"
356,ROOFTOP,"5158 Geary Blvd, San Francisco, CA 94118, USA",ChIJ3Tny0haHhYARSJlD44zx_K4,S B House Inc,37.780851,-122.4749476,1,94118,OK,"establishment,food,point_of_interest,restaurant"
357,ROOFTOP,"3150 18th St, San Francisco, CA 94110, USA",ChIJtbEndl1-j4ARUsBJ9gUUakg,Chefstephanie Culinarymistress,37.7623798,-122.4142544,1,94110,OK,"establishment,food,point_of_interest"
358,ROOFTOP,"451 9th St, San Francisco, CA 94103, USA",ChIJ-TQHGil-j4AR_xz9tp0A5qI,Cups And Cakes Bakery,37.77209,-122.409148,1,94103,OK,"bakery,establishment,food,point_of_interest,store"
359,ROOFTOP,"1207 Divisadero St, San Francisco, CA 94115, USA",ChIJCRUTzraAhYAR1mx8BK1WCtc,Lilah Belle's,37.7808144,-122.4391341,1,94115,OK,"establishment,food,point_of_interest,store"
360,ROOFTOP,"1710 E 15th St, Little Rock, AR 72202, USA",ChIJkT2cype70ocReOcdPBPu69U,New Sandy's Cafe & Deli,34.732577,-92.2509084,1,72202,OK,"establishment,food,point_of_interest,restaurant"
361,ROOFTOP,"4528 Mission St, San Francisco, CA 94112, USA",ChIJsxlxuYh-j4ARV5Eiq3pCJIk,Pissed Off Petes,37.7255512,-122.4344401,1,94112,OK,"bar,establishment,food,point_of_interest,restaurant"
362,ROOFTOP,"3154 Fillmore St, San Francisco, CA 94123, USA",ChIJSYPmnNCAhYARToQmSh__YNc,Eastside West,37.7988595,-122.4356778,1,94123,OK,"bar,establishment,food,night_club,point_of_interest,restaurant"
363,ROOFTOP,"5524 Geary Blvd, San Francisco, CA 94121, USA",ChIJIZVATxCHhYARasytcvubeWE,Kappou Gomi,37.7806563,-122.478788,1,94121,OK,"establishment,food,point_of_interest,restaurant"
364,ROOFTOP,"370 Grove St, San Francisco, CA 94102, USA",ChIJzWhNi5iAhYARl5GjFfGFJYc,Muka,37.7781813,-122.4228268,1,94102,OK,"bar,establishment,food,point_of_interest"
365,ROOFTOP,"15696 E 14th St, San Leandro, CA 94578, USA",ChIJ87e9idGRj4ARDpGEPyogLRA,Theo's Cheesesteak Shop,37.7019018,-122.1233886,2,94578,OK,"establishment,food,point_of_interest,restaurant"
366,ROOFTOP,"118 N Walnut St #2, Murfreesboro, TN 37130, USA",ChIJf7mHJ2z4Y4gRz_8Zy01vLNo,Pure Sweets & Savory,35.846836,-86.393422,2,37130,OK,"bakery,cafe,establishment,food,point_of_interest,restaurant,store"
367,ROOFTOP,"2231 Larkspur Landing Cir, Larkspur, CA 94939, USA",ChIJLVf7bUSahYARjoCjlC98ROY,Three Twins Ice Cream,37.9475857,-122.5092353,1,94939,OK,"establishment,food,point_of_interest,store"
368,ROOFTOP,"9615 NW Baker Rd, Kansas City, MO 64153, USA",ChIJ9ZelXHdhwIcRPEQxzc9fqCA,Showdogs,39.267645,-94.79963099999999,1,64153,OK,"establishment,point_of_interest"
369,ROOFTOP,"1820 N Brown Rd, Lawrenceville, GA 30043, USA",ChIJk1HF82q99YgR1EnyiKkO92g,Red Crawfish,33.9835758,-84.0815798,2,30043,OK,"establishment,food,point_of_interest,restaurant"
370,ROOFTOP,"4701 Geary Blvd, San Francisco, CA 94118, USA",ChIJvaxqARaHhYARKYtXixN1tlQ,Hearth Bar,37.780491,-122.4698302,1,94118,OK,"bar,establishment,point_of_interest"
371,ROOFTOP,"1039 Summer Wood Rd, Knoxville, TN 37923, USA",ChIJqS-gXUslXIgREgbdleZCzo4,M M Catering,35.9426978,-84.0856133,1,37923,OK,"establishment,food,point_of_interest,restaurant"
372,ROOFTOP,"19201 Bear Valley Rd, Apple Valley, CA 92308, USA",ChIJ5yP8gudgw4ARMiC88_GnV_g,Nubi Yogurt,34.4706046,-117.2426659,1,92308,OK,"establishment,food,point_of_interest,store"
373,ROOFTOP,"216 N 4th St #201, Lafayette, IN 47901, USA",ChIJm1eQvFodE4gRc_uokRhCPUk,Citizens Band,40.4195121,-86.89325649999999,1,47901,OK,"electronics_store,establishment,home_goods_store,point_of_interest,store"
374,ROOFTOP,"1196 Folsom St, San Francisco, CA 94103, USA",ChIJ5TvqgIKAhYARNRgAXSiK_dw,Pinkies Bakery,37.7752219,-122.4100375,2,94103,OK,"bakery,establishment,food,point_of_interest,store"
375,ROOFTOP,"4 Embarcadero Center, San Francisco, CA 94111, USA",ChIJNxNnLWGAhYARlGSKJ57k4Kg,Stone Korean Kitchen,37.7954216,-122.3959473,2,94111,OK,"establishment,food,point_of_interest,restaurant"
376,ROOFTOP,"812 W El Camino Real, Sunnyvale, CA 94087, USA",ChIJIyoWF4u2j4ARVT-QHgMi0g8,Chaat Cafe Express,37.3691049,-122.04175,1,94087,OK,"establishment,food,point_of_interest,restaurant"
377,ROOFTOP,"1845 W 4th St, Bartlesville, OK 74005, USA",ChIJqS-kDGYUt4cR49c0eOC2wvI,"Martha & Bros, Coffee 8",36.7504041,-95.9987671,1,74005,OK,"establishment,point_of_interest"
378,GEOMETRIC_CENTER,"OK-85, Ketchum, OK 74349, USA",ChIJL3UVnd0qyIcRYXHRavjvseI,Slow Club,36.5244519,-95.02571909999999,1,74349,OK,"establishment,food,point_of_interest,restaurant"
379,ROOFTOP,"4916 Military Pkwy, Dallas, TX 75227, USA",ChIJi0U4c2uiToYRMwG3bxJPlAk,King Cha-Cha Bar,32.7832223,-96.7320539,2,75227,OK,"establishment,food,point_of_interest,restaurant"
380,ROOFTOP,"701 Larkin St, San Francisco, CA 94109, USA",ChIJf_6yHZCAhYARPLHICGeJgBM,Pho Hanamninh,37.7843739,-122.4180698,1,94109,OK,"establishment,food,point_of_interest,restaurant"
381,ROOFTOP,"64 14th St, San Francisco, CA 94103, USA",ChIJt58t2CV-j4ARFp4YxmxTRuM,Cafe Zazo,37.768692,-122.414838,1,94103,OK,"bar,cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store"
382,ROOFTOP,"210 S Public Rd, Lafayette, CO 80026, USA",ChIJ5bnmo_r0a4cRveUrW--OIu4,Coffee Mine,39.9963631,-105.0902754,1,80026,OK,"bar,cafe,establishment,food,point_of_interest,store"
