accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"771 Ellis St, San Francisco, CA 94109, USA",ChIJpfa3LpeAhYARQcL1gPU_qdQ,771 Ellis St,37.7838394,-122.4188311,1,94109,OK,premise
ROOFTOP,"555 California St, San Francisco, CA 94104, USA",ChIJgVDtsouAhYARvYch9NRWjkI,555 California St Concours,37.792062,-122.4037148,2,94104,OK,"establishment,point_of_interest"
ROOFTOP,"555 California St, San Francisco, CA 94104, USA",ChIJ47fYMIqAhYARbgqBaPZoAJ4,555 California St Cncourse,37.7920903,-122.4036761,1,94104,OK,premise
ROOFTOP,"3516 Balboa St, San Francisco, CA 94121, USA",ChIJJzmFE6aHhYARxGHYCDNT3y8,3516 Balboa St,37.7759116,-122.4965396,1,94121,OK,street_address
ROOFTOP,"3821 Lawton St, San Francisco, CA 94122, USA",ChIJZ2SXDZCHhYARu6Mdk7dgSSk,3821 Lawton St,37.7566135,-122.503968,1,94122,OK,premise
ROOFTOP,"3498 Cesar Chavez, San Francisco, CA 94110, USA",ChIJBQU9Z0F-j4AR16cNUw3OwrA,3498 Cesar Chavez St,37.7484924,-122.4199151,1,94110,OK,premise
ROOFTOP,"860 Sutter St, San Francisco, CA 94109, USA",ChIJOZXlO5KAhYARLUUIJadgltY,860 Sutter St,37.7887691,-122.4146076,1,94109,OK,premise
ROOFTOP,"180 New Montgomery St, San Francisco, CA 94105, USA",ChIJIe3MFn2AhYARkPhedbncAuU,180 New Montgomery St,37.7862694,-122.3996049,1,94105,OK,premise
ROOFTOP,"851 Howard St, San Francisco, CA 94103, USA",ChIJA2LoMYeAhYAR8QhP2SeBbUA,851 Howard St,37.7823067,-122.4037608,4,94103,OK,street_address
ROOFTOP,"620 Sutter St, San Francisco, CA 94102, USA",ChIJd9u22Y2AhYAR632fExbztLk,620 Sutter St,37.7891277,-122.4106381,1,94102,OK,street_address
ROOFTOP,"3065 Jackson St, San Francisco, CA 94115, USA",ChIJgfrRIs2AhYARMd6pN4ck7P8,3065 Jackson St,37.7909556,-122.4453526,1,94115,OK,premise
ROOFTOP,"303 2nd St, San Francisco, CA 94107, USA",ChIJQdd29XuAhYARlLzH0JbNTyQ,303 2nd St,37.7856757,-122.3958433,1,94107,OK,premise
ROOFTOP,"400 Howard St, San Francisco, CA 94105, USA",ChIJO9_eVWOAhYARDCNmyadGjlw,400 Howard St,37.7891003,-122.3958433,1,94105,OK,premise
GEOMETRIC_CENTER,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",ChIJVVVVVYx3j4ARP-3NGldc8qQ,00000 Sf Airport,37.6213129,-122.3789554,1,94128,OK,"airport,establishment,point_of_interest"
ROOFTOP,"655 Sutter St, San Francisco, CA 94102, USA",ChIJndztc46AhYARRsKGgCJgVS4,655 Sutter Street,37.7887584,-122.4110569,5,94102,OK,street_address
ROOFTOP,"900 North Point St K201, San Francisco, CA 94109, USA",EjZLMjAxLCA5MDAgTm9ydGggUG9pbnQgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA5LCBVU0EiIBoeChYKFAoSCZsl1MPggIWAEeOyhFfcJbAtEgRLMjAx,900 North Point St K201,37.8058745,-122.4229535,1,94109,OK,subpremise
ROOFTOP,"1840 Fillmore St, San Francisco, CA 94115, USA",ChIJ35tberiAhYAR7ZjHqfmqgaM,1840 Fillmore St,37.7865393,-122.4332413,2,94115,OK,street_address
ROOFTOP,"900 North Point St, San Francisco, CA 94109, USA",ChIJvXl2weCAhYARjSxnhzrBfNc,900 North Point St B201a,37.8058763,-122.4229502,1,94109,OK,"establishment,point_of_interest,shopping_mall"
ROOFTOP,"3600 Taraval, San Francisco, CA 94116, USA",ChIJn_mJamN9j4ARJbb0PUZvlWc,3600 Taraval St,37.7420316,-122.5048257,1,94116,OK,premise
RANGE_INTERPOLATED,"2291 3rd St, San Francisco, CA 94107, USA",EikyMjkxIDNyZCBTdCwgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMDcsIFVTQSIbEhkKFAoSCUN1qUe4f4-AEVkBqK2cXKqoEPMR,2291 3rd St,37.7606985,-122.3883508,2,94107,OK,street_address
ROOFTOP,"1419 Haight St, San Francisco, CA 94117, USA",ChIJR2xRx6yAhYAReOoBaAo-DzA,1419 Haight St,37.7700007,-122.4457826,1,94117,OK,street_address
ROOFTOP,"2535 3rd St, San Francisco, CA 94107, USA",ChIJEfMFMLp_j4ARDIaIpk836Vk,2535 3rd St,37.7573135,-122.3879385,8,94107,OK,street_address
ROOFTOP,"2565 3rd St, San Francisco, CA 94107, USA",ChIJx0TxObp_j4ARlLy6l_jKjxA,2565 3rd St 307,37.7570539,-122.3878253,2,94107,OK,street_address
ROOFTOP,"350 Bush St #200, San Francisco, CA 94104, USA",Ei4yMDAsIDM1MCBCdXNoIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwNCwgVVNBIh8aHQoWChQKEgk3oOGIiYCFgBH-lH7fRYgChhIDMjAw,350 Bush St Ste 200,37.7911298,-122.4034106,1,94104,OK,subpremise
ROOFTOP,"808 Brannan St, San Francisco, CA 94103, USA",ChIJ4R5lcSt-j4ARnti35n80GIo,808 Brannan St,37.7729534,-122.4038089,1,94103,OK,premise
