business_id,name,score,year,formatted_address,formatted_name
3061,GHIRARDELLI CHCOCOLATE COMPANY,96.0,2016.0,"900 North Point St, San Francisco, CA 94109, USA",ghirardelli
3065,CHA-AM RESTAURANT,85.0,2017.0,"701 Folsom St, San Francisco, CA 94107, USA",cha-am
3065,CHA-AM RESTAURANT,85.0,2018.0,"701 Folsom St, San Francisco, CA 94107, USA",cha-am
3065,CHA-AM RESTAURANT,83.0,2016.0,"701 Folsom St, San Francisco, CA 94107, USA",cha-am
3070,FLOWER MARKET CAFE,74.0,2018.0,"698 Brannan St, San Francisco, CA 94107, USA",flower
3070,FLOWER MARKET CAFE,75.0,2017.0,"698 Brannan St, San Francisco, CA 94107, USA",flower
3073,DELANCEY ST. RESTAURANT,96.0,2017.0,"600 The Embarcadero, San Francisco, CA 94107, USA",delancey
3073,DELANCEY ST. RESTAURANT,70.0,2016.0,"600 The Embarcadero, San Francisco, CA 94107, USA",delancey
3076,LIMON RESTAURANT,88.0,2016.0,"524 Valencia St, San Francisco, CA 94110, USA",limon
3076,LIMON RESTAURANT,84.0,2017.0,"524 Valencia St, San Francisco, CA 94110, USA",limon
3076,LIMON RESTAURANT,78.0,2018.0,"524 Valencia St, San Francisco, CA 94110, USA",limon
3084,ITALIAN AMERICAN SOCIAL CLUB,85.0,2016.0,"25 Russia Ave, San Francisco, CA 94112, USA",italian
3084,ITALIAN AMERICAN SOCIAL CLUB,88.0,2017.0,"25 Russia Ave, San Francisco, CA 94112, USA",italian
3090,YANK SING RESTAURANT,85.0,2017.0,"2355 Chestnut St, San Francisco, CA 94123, USA",yank
3095,WHITCOMB HOTEL BAR & GRILL,85.0,2016.0,"1231 Market St, San Francisco, CA 94103, USA",whitcomb
3095,WHITCOMB HOTEL BAR & GRILL,78.0,2017.0,"1231 Market St, San Francisco, CA 94103, USA",whitcomb
3095,WHITCOMB HOTEL BAR & GRILL,77.0,2018.0,"1231 Market St, San Francisco, CA 94103, USA",whitcomb
4789,WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA,84.0,2018.0,"1231 Market St, San Francisco, CA 94103, USA",whitcomb
4789,WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA,89.0,2017.0,"1231 Market St, San Francisco, CA 94103, USA",whitcomb
4789,WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA,88.0,2016.0,"1231 Market St, San Francisco, CA 94103, USA",whitcomb
5011,STARBUCKS COFFEE,92.0,2016.0,"1231 Market St, San Francisco, CA 94103, USA",starbucks
5011,STARBUCKS COFFEE,96.0,2017.0,"1231 Market St, San Francisco, CA 94103, USA",starbucks
5011,STARBUCKS COFFEE,87.0,2016.0,"1231 Market St, San Francisco, CA 94103, USA",starbucks
5011,STARBUCKS COFFEE,96.0,2018.0,"1231 Market St, San Francisco, CA 94103, USA",starbucks
3111,THE FAMILY,100.0,2017.0,"545 Powell St, San Francisco, CA 94108, USA",the
3111,THE FAMILY,87.0,2017.0,"545 Powell St, San Francisco, CA 94108, USA",the
3112,LORI'S DINER,80.0,2017.0,"500 Sutter St, San Francisco, CA 94108, USA",lori's
3112,LORI'S DINER,100.0,2015.0,"500 Sutter St, San Francisco, CA 94108, USA",lori's
3112,LORI'S DINER,83.0,2016.0,"500 Sutter St, San Francisco, CA 94108, USA",lori's
3114,FRANCISCAN CRAB RESTAURANT,87.0,2016.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",franciscan
3114,FRANCISCAN CRAB RESTAURANT,82.0,2017.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",franciscan
3114,FRANCISCAN CRAB RESTAURANT,90.0,2016.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",franciscan
36214,RED AND WHITE FLEET - HARBOR QUEEN,100.0,2016.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",red
36214,RED AND WHITE FLEET - HARBOR QUEEN,100.0,2017.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",red
36215,RED AND WHITE FLEET - HARBOR PRINCESS,98.0,2017.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",red
36215,RED AND WHITE FLEET - HARBOR PRINCESS,100.0,2016.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",red
36216,RED AND WHITE FLEET - ROYAL PRINCE,100.0,2017.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",red
36216,RED AND WHITE FLEET - ROYAL PRINCE,98.0,2016.0,"Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",red
3115,YEE'S RESTAURANT,72.0,2017.0,"1131 Grant Ave, San Francisco, CA 94133, USA",yee's
3115,YEE'S RESTAURANT,65.0,2016.0,"1131 Grant Ave, San Francisco, CA 94133, USA",yee's
3115,YEE'S RESTAURANT,68.0,2016.0,"1131 Grant Ave, San Francisco, CA 94133, USA",yee's
3116,SAM'S GRILL,93.0,2016.0,"374 Bush St, San Francisco, CA 94104, USA",sam's
3118,HYATT UNION SQUARE MAIN KITCHEN,96.0,2015.0,"345 Stockton St FLR 3B, San Francisco, CA 94108, USA",hyatt
3118,HYATT UNION SQUARE MAIN KITCHEN,92.0,2017.0,"345 Stockton St FLR 3B, San Francisco, CA 94108, USA",hyatt
3118,HYATT UNION SQUARE MAIN KITCHEN,98.0,2018.0,"345 Stockton St FLR 3B, San Francisco, CA 94108, USA",hyatt
