business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month,MA,formatted_name,formatted_address
82176,FORT MASON MARKET AND DELI,1701 GREENWICH ST ,San Francisco,CA,94123,,,14153461110,98.0,2018-01-05,routine,2018.0,1.0,95.0,FORT MASON,1701 GREENWICH
85430,FORT POINT BEER COMPANY,1 FERRY BUILDING  #54,San Francisco,CA,94111,,,14159064021,100.0,2018-05-04,routine,2018.0,5.0,100.0,FORT POINT,1 FERRY
94387,FOUNDATION CAFE,645 5TH ST ,San Francisco,CA,94107,,,14153503301,85.0,2018-03-09,routine,2018.0,3.0,85.0,FOUNDATION CAFE,645 5TH
94388,FOUNDATION CAFE,335 KEARNY ST ,San Francisco,CA,94108,,,,85.0,2018-05-31,routine,2018.0,5.0,85.0,FOUNDATION CAFE,335 KEARNY
2870,FOUNTAIN CAFE,"50 POST ST, SUITE B62",San Francisco,CA,94104,37.789064,-122.40286100000002,14156012605,77.0,2018-02-06,routine,2018.0,2.0,74.0,FOUNTAIN CAFE,50 POST
68254,FOUR BARREL COFFEE,2599 SAN BRUNO AVE ,San Francisco,CA,94103,37.776416999999995,-122.43803700000001,14152520800,90.0,2016-06-28,routine,2016.0,6.0,92.0,FOUR BARREL,2599 SAN
36840,FOUR BARREL COFFEE,375 VALENCIA ST ,San Francisco,CA,94103,37.766994,-122.42203500000001,14159946594,82.0,2018-06-14,routine,2018.0,6.0,82.0,FOUR BARREL,375 VALENCIA
1496,FOUR SEASONS HOTEL- EMPLOYEE  CAFETERIA,757 MARKET ST BASE.,San Francisco,CA,94103,37.786476,-122.404852,14156333000,91.0,2017-06-16,routine,2017.0,6.0,91.0,FOUR SEASONS,757 MARKET
1983,FOUR STAR THEATRE - SNACK BAR,2200 CLEMENT ST ,San Francisco,CA,94118,37.782128,-122.48291100000002,14159526449,96.0,2018-03-12,routine,2018.0,3.0,97.0,FOUR STAR,2200 CLEMENT
80901,FOX AND LION BREAD CO,5273 03RD ST ,San Francisco,CA,94124,,,14156016807,96.0,2018-06-07,routine,2018.0,6.0,94.5,FOX AND,5273 03RD
68774,FOX MARKET,570 LARKIN ST ,San Francisco,CA,94102,37.783035999999996,-122.417396,14154410690,96.0,2018-01-03,routine,2018.0,1.0,94.5,FOX MARKET,570 LARKIN
74245,FOXTAIL CATERING & EVENTS,2565 03RD ST UNIT#310,San Francisco,CA,94107,,,,100.0,2018-07-16,routine,2018.0,7.0,97.0,FOXTAIL CATERING,2565 03RD
6032,FRANCIS OF ASSISI SENIOR MEALS PROG,145 GUERRERO ST ,San Francisco,CA,94103,37.768904,-122.424466,14158615790,92.0,2018-04-10,routine,2018.0,4.0,94.0,FRANCIS OF,145 GUERRERO
3129,FRANCISCA CLUB,595 SUTTER ST ,San Francisco,CA,94102,37.789014,-122.409967,14157811200,100.0,2018-03-19,routine,2018.0,3.0,100.0,FRANCISCA CLUB,595 SUTTER
3114,FRANCISCAN CRAB RESTAURANT,PIER 43 1/2,San Francisco,CA,94133,37.808931,-122.41506899999999,14153627733,82.0,2017-11-06,routine,2017.0,11.0,86.0,FRANCISCAN CRAB,PIER 43
5880,FRANCISCO MIDDLE SCHOOL,2190 POWELL ST ,San Francisco,CA,94133,37.804368,-122.41161699999999,14152917900,94.0,2018-02-14,routine,2018.0,2.0,95.0,FRANCISCO MIDDLE,2190 POWELL
5831,FRANK MCCOPPIN ELEMENTARY SCHOOL,651 06TH AVE ,San Francisco,CA,94118,37.778382,-122.462787,14157508475,96.0,2018-02-14,routine,2018.0,2.0,98.0,FRANK MCCOPPIN,651 06TH
4982,FRANKLIN MARKET,1528 FRANKLIN ST ,San Francisco,CA,94109,37.788658,-122.423627,14159283314,96.0,2017-02-07,routine,2017.0,2.0,97.0,FRANKLIN MARKET,1528 FRANKLIN
86885,FRANKLIN MARKET,2836 FRANKLIN ST ,San Francisco,CA,94123,,,,98.0,2018-02-08,routine,2018.0,2.0,92.5,FRANKLIN MARKET,2836 FRANKLIN
91012,FRATERNITE NOTRE DAME,50 POST ST ,San Francisco,CA,94104,,,14159234350,100.0,2018-05-10,routine,2018.0,5.0,100.0,FRATERNITE NOTRE,50 POST
90973,FRATERNITE NOTRE DAME,2425 GEARY BLVD ,San Francisco,CA,94115,,,14159234350,100.0,2018-05-23,routine,2018.0,5.0,100.0,FRATERNITE NOTRE,2425 GEARY
4465,FREDDIE'S SANDWICHES,300 FRANCISCO ST ,San Francisco,CA,94133,37.805128,-122.410284,14154332882,94.0,2018-02-12,routine,2018.0,2.0,92.0,FREDDIE'S SANDWICHES,300 FRANCISCO
7538,FREDS LIQUOR & DELI,151 06TH ST ,San Francisco,CA,94103,37.774722,-122.40676100000002,14155437337,96.0,2017-10-26,routine,2017.0,10.0,96.0,FREDS LIQUOR,151 06TH
4944,FRENCH BAKERY,1101 TARAVAL ST ,San Francisco,CA,94116,37.742914,-122.478149,14158638726,92.0,2017-10-18,routine,2017.0,10.0,94.0,FRENCH BAKERY,1101 TARAVAL
3795,FRENCH CLUB,414 MASON ST  8TH FLOOR,San Francisco,CA,94102,37.787517,-122.409897,,100.0,2018-05-03,routine,2018.0,5.0,100.0,FRENCH CLUB,414 MASON
89276,"FRESCA GARDENS, INC","135 4TH ST,  FC-6",San Francisco,CA,94103,,,14152253531,88.0,2018-01-17,routine,2018.0,1.0,85.0,"FRESCA GARDENS,",135 4TH
18826,FRESCA RESTAURANT,2114 FILLMORE ST ,San Francisco,CA,94115,37.789074,-122.433783,14154472668,87.0,2017-11-29,routine,2017.0,11.0,89.5,FRESCA RESTAURANT,2114 FILLMORE
18824,FRESCA RESTAURANT,24 WEST PORTAL AVE,San Francisco,CA,94122,37.740502,-122.46619199999999,14157598087,96.0,2018-01-30,routine,2018.0,1.0,91.5,FRESCA RESTAURANT,24 WEST
18825,FRESCA RESTAURANT,3945 24TH ST ,San Francisco,CA,94114,37.751474,-122.43070800000001,14156950549,86.0,2018-02-21,routine,2018.0,2.0,91.0,FRESCA RESTAURANT,3945 24TH
64524,FRESCA RESTAURANT,737 IRVING ST ,San Francisco,CA,94122,37.764033000000005,-122.4659,14157425727,86.0,2018-03-15,routine,2018.0,3.0,86.0,FRESCA RESTAURANT,737 IRVING
64141,FRESCO PIZZA AND GRILL,1338 POLK ST ,San Francisco,CA,94109,37.789278,-122.420387,14155735415,90.0,2018-03-07,routine,2018.0,3.0,90.0,FRESCO PIZZA,1338 POLK
60042,FRESH & NATURAL 75 LLC,1300 EVANS AVE ,San Francisco,CA,94124,37.739256,-122.38162700000001,14156410177,92.0,2016-07-13,routine,2016.0,7.0,92.0,FRESH &,1300 EVANS
