accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"1105 Bush St, San Francisco, CA 94109, USA",ChIJBclSs5OAhYARj7rDpB5ZhFA,1105 Bush St 303,37.789095,-122.415581,2,94109,OK,street_address
ROOFTOP,"1150 Illinois St, Sheridan, WY 82801, USA",ChIJLcg4IqD6NVMRAz9QRtW50eU,1150 Illinois St,44.7854516,-106.9505249,3,82801,OK,premise
ROOFTOP,"325 Maple Ave #23, Torrance, CA 90503, USA",EioyMywgMzI1IE1hcGxlIEF2ZSwgVG9ycmFuY2UsIENBIDkwNTAzLCBVU0EiHhocChYKFAoSCZ31ldMotcKAEe9WHmxZ_Er5EgIyMw,325 Maple Ave Ste 23,33.8468876,-118.3405332,1,90503,OK,subpremise
ROOFTOP,"410 China Basin St, San Francisco, CA 94158, USA",ChIJ14RJ09p_j4ARH_nOCBUWSb8,410 China Basin St,37.7723683,-122.3876559,1,94158,OK,premise
ROOFTOP,"584 Castro St # 509, San Francisco, CA 94114, USA",ChIJe84Gzhp-j4AR8wzxLmn8qWA,584 Castro St 509,37.7596077,-122.4351526,1,94114,OK,"establishment,point_of_interest"
ROOFTOP,"1650 Holloway Ave, San Francisco, CA 94132, USA",ChIJU922dbF9j4ARgEGbVgVxgNI,1650 Holloway Ave Sb108,37.7223946,-122.4786143,1,94132,OK,street_address
RANGE_INTERPOLATED,"3440 Balboa Ave, San Diego, CA 92117, USA",EikzNDQwIEJhbGJvYSBBdmUsIFNhbiBEaWVnbywgQ0EgOTIxMTcsIFVTQSIbEhkKFAoSCdGa0RhIANyAEWQOPgyBSTcSEPAa,3440 Balboa Ave,32.8081594,-117.2097823,1,92117,OK,street_address
ROOFTOP,"334 Leavenworth St #15, San Francisco, CA 94102, USA",EjQxNSwgMzM0IExlYXZlbndvcnRoIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwMiwgVVNBIh4aHAoWChQKEgk_si5rkICFgBGguX2K1VPNPhICMTU,334 Leavenworth St Apt 15,37.7842571,-122.4141742,1,94102,OK,subpremise
ROOFTOP,"1500 S Van Ness Ave #100, San Francisco, CA 94110, USA",ChIJU6YGJpWAhYARVUhhcBd6plo,1500 South Van Ness Ave Suite 100 Ave,37.749027,-122.416141,1,94110,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"1737 Post St, San Francisco, CA 94115, USA",ChIJD5nH17iAhYARgkFAdxQx0eE,1737 Post St #337,37.785329,-122.430369,1,94115,OK,street_address
GEOMETRIC_CENTER,"Sutter St, Folsom, CA 95630, USA",ChIJC64jkqzmmoARtgan2dQ47Wg,Sutter St,38.6770069,-121.177728,10,95630,OK,route
ROOFTOP,"601 19th St, Ocean City, NJ 08226, USA",ChIJK7eO31mVwIkR8l4GB0gJIvk,601 19th St,39.2670008,-74.5889135,2,8226,OK,premise
ROOFTOP,"1519 Polk St, San Francisco, CA 94109, USA",ChIJH0CAKeuAhYARluDrlmEaX4M,1519 Polk St,37.7909522,-122.4210713,2,94109,OK,street_address
ROOFTOP,"1450 47th Ave NE Apt A, Minneapolis, MN 55421, USA",EjNBcHQgQSwgMTQ1MCA0N3RoIEF2ZSBORSwgTWlubmVhcG9saXMsIE1OIDU1NDIxLCBVU0EiIRofChYKFAoSCVkGCbVELrNSEe0d-dZeRlN2EgVBcHQgQQ,1450 47th Ave Apt A,45.0533496,-93.2394314,1,55421,OK,subpremise
ROOFTOP,"5114 3rd St, San Francisco, CA 94124, USA",ChIJU7WzxRp_j4ARO0wHEMmKTZs,5114 3rd St,37.7321029,-122.3918301,2,94124,OK,street_address
ROOFTOP,"3251 20th Ave, San Francisco, CA 94132, USA",ChIJP5NLubt9j4AR9_zxLgJGWTg,3251 20th Ave 159,37.7280817,-122.4770808,2,94132,OK,street_address
ROOFTOP,"523 Broadway St, Birmingham, AL 35209, USA",ChIJW0GYvEcZiYgRwGk1BuuUZ_A,523 Broadway St,33.466435,-86.810193,2,35209,OK,street_address
ROOFTOP,"108 Bertha Ln, Jacksboro, TN 37757, USA",ChIJ0XoGm-lRXIgRFmQ5YciBXlQ,108 Bertha Ln,36.309797,-84.166792,2,37757,OK,street_address
ROOFTOP,"244 Clement St, San Francisco, CA 94118, USA",ChIJMfB52zuHhYARg1o1XyeOgAs,244 Clement Street,37.7833314,-122.4618947,1,94118,OK,premise
ROOFTOP,"2069 O'Farrell St, San Francisco, CA 94115, USA",ChIJ3V0V-raAhYAReigWXPFBlYE,2069 O'farrell St.,37.7824298,-122.4388515,1,94115,OK,street_address
ROOFTOP,"564 S Van Ness Ave, Los Angeles, CA 90020, USA",ChIJz4nYDZG4woAR_lDJnMCFUAE,564 Van Ness Ave,34.063447,-118.3151676,4,90020,OK,premise
ROOFTOP,"175 Bluxome St UNIT 129, San Francisco, CA 94107, USA",ChIJ9xHpk9R_j4AR0FF3jIcNotk,175 Bluxome St Unit 129,37.7743789,-122.3995747,1,94107,OK,subpremise
ROOFTOP,"1424 Yosemite Ave, San Francisco, CA 94124, USA",ChIJ7a5wxBd_j4ARNwe1jHlG2OE,1424 Yosemite Ave,37.72526,-122.3882976,4,94124,OK,premise
ROOFTOP,"50 Hagiwara Tea Garden Dr, San Francisco, CA 94118, USA",ChIJOe1W90GHhYARFX5jEuIPRpI,50 Hagiwara Tea Garden Dr,37.7714775,-122.4687303,1,94118,OK,premise
ROOFTOP,"3568 Bridgeway Lakes Dr, West Sacramento, CA 95691, USA",ChIJGRzaTKbTmoARf0IFWBB9HBY,3568 Bridgeway Lakes Dr,38.5324104,-121.579775,1,95691,OK,premise
ROOFTOP,"2276 Chestnut St, Livermore, CA 94551, USA",ChIJGzOSa6Hnj4ARK3KdPHUMQMQ,2276 Chestnut St,37.6859641,-121.7696542,1,94551,OK,premise
ROOFTOP,"750 Gonzalez Dr, San Francisco, CA 94132, USA",ChIJi5a4ha19j4ARoILfK0p83kQ,750 Gonzalez Dr,37.7177603,-122.4811758,1,94132,OK,"establishment,point_of_interest,premise"
ROOFTOP,"3378 18th St, San Francisco, CA 94110, USA",ChIJLX7HpTx-j4ARXq42g0Ee-jk,3378 18th St,37.7620489,-122.4188753,1,94110,OK,premise
ROOFTOP,"1005 Chester St, Bristol, VA 24201, USA",ChIJDY1yeXd2UIgRR4mYeaaZz6c,1005 Chester St,36.608705,-82.182712,3,24201,OK,street_address
ROOFTOP,"1005 Chester St, Bristol, VA 24201, USA",ChIJDY1yeXd2UIgRR4mYeaaZz6c,1005 Chester Street,36.608705,-82.182712,2,24201,OK,street_address
ROOFTOP,"Market Center, 575 Market St #3825, San Francisco, CA 94105, USA",EkAzODI1LCBNYXJrZXQgQ2VudGVyLCA1NzUgTWFya2V0IFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwNSwgVVNBIiAaHgoWChQKEgm12wGMYoCFgBHm4Pye7MZ84xIEMzgyNQ,575 Market Street  Ste 3825,37.7895508,-122.4003129,1,94105,OK,subpremise
ROOFTOP,"321 W Portal Ave, San Francisco, CA 94127, USA",ChIJ4-sXAcB9j4ARgsitf2uFTFA,321 West Portal Ave,37.7375309,-122.4691808,1,94127,OK,premise
ROOFTOP,"321 W Portal Ave Ste A, San Francisco, CA 94127, USA",EjVTdGUgQSwgMzIxIFcgUG9ydGFsIEF2ZSwgU2FuIEZyYW5jaXNjbywgQ0EgOTQxMjcsIFVTQSIhGh8KFgoUChIJ4-sXAcB9j4ARgsitf2uFTFASBVN0ZSBB,321 Portal Ave Ste A,37.7375309,-122.4691808,1,94127,OK,subpremise
ROOFTOP,"2315 Highgate Dr, Richmond, CA 94806, USA",ChIJhcL7pch3hYARwQZe91abOw0,2315 Highgate St,37.9782087,-122.3383409,1,94806,OK,premise
ROOFTOP,"303 2nd St, San Francisco, CA 94107, USA",ChIJQdd29XuAhYARlLzH0JbNTyQ,303 2nd Street,37.7856757,-122.3958433,1,94107,OK,premise
ROOFTOP,"80 W Plumas Ave, Portola, CA 96122, USA",ChIJX4bQ2lwUnIAREPXRGyUKgpM,80 Plumas St St,39.812244,-120.471193,1,96122,OK,street_address
ROOFTOP,"2948 Folsom St, San Francisco, CA 94110, USA",ChIJG19DC0Z-j4ARWakc7F5RtWw,2948 Folsom St Bldg,37.7501624,-122.4141189,1,94110,OK,premise
ROOFTOP,"3459 Mission St, San Francisco, CA 94110, USA",ChIJj5EAFl1-j4ARgA5wwKkgQUs,3459 Mission Street,37.7414449,-122.4223374,1,94110,OK,premise
RANGE_INTERPOLATED,"1990 Jerrold Ave, San Francisco, CA 94124, USA",Ei4xOTkwIEplcnJvbGQgQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEyNCwgVVNBIhsSGQoUChIJO36Jr6t_j4ARmBDDBIiQOR8Qxg8,1990 Jerrold Avenue,37.7433701,-122.3977355,1,94124,OK,street_address
ROOFTOP,"500 Guerrero St, San Francisco, CA 94110, USA",ChIJe4pXeBh-j4ARxDWWOkBnQ58,500 Guerrero St,37.7630249,-122.4241968,1,94110,OK,premise
ROOFTOP,"2675 Ocean Ave, Brooklyn, NY 11229, USA",ChIJsSgg34hEwokRKpQZnu8zrSo,2675 Ocean Avenue,40.595967,-73.9504018,1,11229,OK,premise
