business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
82869,SZECHUAN TASTE RESTAURANT INC,917 TARAVAL ST ,San Francisco,CA,94116,,,14156818383,63.0,2017-08-01,routine,2017.0,8.0
82869,SZECHUAN TASTE RESTAURANT INC,917 TARAVAL ST ,San Francisco,CA,94116,,,14156818383,81.0,2018-07-10,routine,2018.0,7.0
6643,T & L FOOD MARKET,405 EDDY ST ,San Francisco,CA,94109,37.783660999999995,-122.414341,14156732262,69.0,2016-06-09,routine,2016.0,6.0
6643,T & L FOOD MARKET,405 EDDY ST ,San Francisco,CA,94109,37.783660999999995,-122.414341,14156732262,70.0,2017-01-30,routine,2017.0,1.0
6643,T & L FOOD MARKET,405 EDDY ST ,San Francisco,CA,94109,37.783660999999995,-122.414341,14156732262,71.0,2018-05-09,routine,2018.0,5.0
69909,T & L LIQUOR STORE INC.,3168 MISSION ST ,San Francisco,CA,94110,37.746459,-122.4194,14158298668,96.0,2016-02-24,routine,2016.0,2.0
69909,T & L LIQUOR STORE INC.,3168 MISSION ST ,San Francisco,CA,94110,37.746459,-122.4194,14158298668,92.0,2016-08-04,routine,2016.0,8.0
69909,T & L LIQUOR STORE INC.,3168 MISSION ST ,San Francisco,CA,94110,37.746459,-122.4194,14158298668,92.0,2017-03-14,routine,2017.0,3.0
69909,T & L LIQUOR STORE INC.,3168 MISSION ST ,San Francisco,CA,94110,37.746459,-122.4194,14158298668,90.0,2017-08-30,routine,2017.0,8.0
69909,T & L LIQUOR STORE INC.,3168 MISSION ST ,San Francisco,CA,94110,37.746459,-122.4194,14158298668,94.0,2018-03-09,routine,2018.0,3.0
87761,T & T CAFE,601 BROADWAY ST ,San Francisco,CA,94133,,,14152382992,86.0,2016-06-16,routine,2016.0,6.0
87761,T & T CAFE,601 BROADWAY ST ,San Francisco,CA,94133,,,14152382992,92.0,2016-10-12,routine,2016.0,10.0
87761,T & T CAFE,601 BROADWAY ST ,San Francisco,CA,94133,,,14152382992,86.0,2017-11-30,routine,2017.0,11.0
95017,T BEAR CAFE,57 WALTER U LUM PL ,San Francisco,CA,94108,,,14158729188,96.0,2018-07-16,routine,2018.0,7.0
1954,T C PASTRY,2222 IRVING ST ,San Francisco,CA,94122,37.763388,-122.48189199999999,14157531133,91.0,2016-05-06,routine,2016.0,5.0
1954,T C PASTRY,2222 IRVING ST ,San Francisco,CA,94122,37.763388,-122.48189199999999,14157531133,88.0,2016-11-02,routine,2016.0,11.0
1954,T C PASTRY,2222 IRVING ST ,San Francisco,CA,94122,37.763388,-122.48189199999999,14157531133,90.0,2017-09-20,routine,2017.0,9.0
1954,T C PASTRY,2222 IRVING ST ,San Francisco,CA,94122,37.763388,-122.48189199999999,14157531133,88.0,2018-05-03,routine,2018.0,5.0
95508,T CUP CAFE,3516 BALBOA ST ,San Francisco,CA,94121,,,14155037075,,,,,
85095,T-28 BAKERY & CAFÉ,1753 TARAVAL ST ,San Francisco,CA,94116,,,14156828200,94.0,2016-06-08,routine,2016.0,6.0
85095,T-28 BAKERY & CAFÉ,1753 TARAVAL ST ,San Francisco,CA,94116,,,14156828200,90.0,2017-01-04,routine,2017.0,1.0
85095,T-28 BAKERY & CAFÉ,1753 TARAVAL ST ,San Francisco,CA,94116,,,14156828200,80.0,2017-08-16,routine,2017.0,8.0
77682,T-WE TEA,50 POST ST #12,San Francisco,CA,94104,,,14153417728,100.0,2015-12-10,routine,2015.0,12.0
77682,T-WE TEA,50 POST ST #12,San Francisco,CA,94104,,,14153417728,100.0,2016-12-20,routine,2016.0,12.0
77682,T-WE TEA,50 POST ST #12,San Francisco,CA,94104,,,14153417728,100.0,2017-12-15,routine,2017.0,12.0
13753,TABOUN,203 PARNASSUS AVE ,San Francisco,CA,,37.764573999999996,-122.45295,14156420168,91.0,2016-08-22,routine,2016.0,8.0
13753,TABOUN,203 PARNASSUS AVE ,San Francisco,CA,,37.764573999999996,-122.45295,14156420168,88.0,2017-12-05,routine,2017.0,12.0
65624,TACKO SHOP,3115 FILLMORE ST  ,San Francisco,CA,94123,37.798272999999995,-122.435774,14157963534,92.0,2016-05-25,routine,2016.0,5.0
65624,TACKO SHOP,3115 FILLMORE ST  ,San Francisco,CA,94123,37.798272999999995,-122.435774,14157963534,92.0,2018-01-03,routine,2018.0,1.0
5136,TACO BELL,7 DRUMM ST,San Francisco,CA,94111,37.793874,-122.396464,14159895537,98.0,2016-05-04,routine,2016.0,5.0
5136,TACO BELL,7 DRUMM ST,San Francisco,CA,94111,37.793874,-122.396464,14159895537,94.0,2017-07-10,routine,2017.0,7.0
5136,TACO BELL,7 DRUMM ST,San Francisco,CA,94111,37.793874,-122.396464,14159895537,98.0,2018-05-24,routine,2018.0,5.0
84922,TACO BELL CANTINA #31685,710 03RD ST ,San Francisco,CA,94107,,,14156212608,98.0,2015-11-18,routine,2015.0,11.0
84922,TACO BELL CANTINA #31685,710 03RD ST ,San Francisco,CA,94107,,,14156212608,100.0,2016-09-19,routine,2016.0,9.0
84922,TACO BELL CANTINA #31685,710 03RD ST ,San Francisco,CA,94107,,,14156212608,96.0,2018-04-03,routine,2018.0,4.0
580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,14158210701,93.0,2015-08-20,routine,2015.0,8.0
580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,14158210701,91.0,2016-03-11,routine,2016.0,3.0
580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,14158210701,92.0,2016-08-29,routine,2016.0,8.0
580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,14158210701,96.0,2017-03-07,routine,2017.0,3.0
580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,14158210701,91.0,2017-08-29,routine,2017.0,8.0
580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,14158210701,94.0,2018-03-13,routine,2018.0,3.0
