,formatted_address,input_string,latitude,longitude,name,number_of_results,price_level,rating,status
97,"2567 Gough St, San Francisco, CA 94123, USA",blue fog market,37.7970675,-122.4272794,Blue Fog Market,1,1.0,4.5,OK
98,"488 Fell St, San Francisco, CA 94102, USA",urban ritual,37.7756878,-122.4258524,Urban Ritual Cafe,1,,4.6,OK
99,"834 Washington St, San Francisco, CA 94108, USA",kam lok restaurant inc,37.7951558,-122.4070917,Kam Lok Restaurant,1,1.0,3.9,OK
100,"3715, 4063 24th St, San Francisco, CA 94114, United States",chez marius,37.7511303,-122.433249,Chez Marius,1,2.0,4.3,OK
101,"205 Frederick St, San Francisco, CA 94117, USA",grace  gusto cakes and confections,37.7670631,-122.4466285,Grace & Gusto Cakes and Confections,1,,5.0,OK
102,"7000 Geary Blvd, San Francisco, CA 94121, USA",pacific cafe,37.779808,-122.494597,Pacific Cafe,1,2.0,4.7,OK
103,,compass group usaca technologies,,,,0,,,ZERO_RESULTS
104,"63 Fair Oaks St, San Francisco, CA 94110, USA",ladies who lunch catering and events,37.7556857,-122.4242658,Ladies Who Lunch Catering and Events,1,,5.0,OK
105,"3621 18th St, San Francisco, CA 94110, USA",delfina restaurant,37.761367,-122.424362,Delfina,2,3.0,4.4,OK
106,"Inside Wells Fargo Bank 2nd Floor, 420 Montgomery St, San Francisco, CA 94104, United States",guckenheimer 114201  coffee 12th floor,37.7933847,-122.4026486,Guckenheimer Cafe,1,,0.0,OK
107,,la boquita kitchen,,,,0,,,ZERO_RESULTS
108,"1608 Bush St, San Francisco, CA 94109, USA",1608 bistro,37.7883731,-122.4239125,1608 Bistro,1,1.0,4.7,OK
109,"1901 Ocean Ave, San Francisco, CA 94127, USA",the fog lifter cafe,37.7251726,-122.4624205,Fog Lifter Cafe,1,,4.3,OK
110,"185 Berry St, San Francisco, CA 94107, USA",focaccia cafe  bakery,37.776388,-122.392234,Focaccia Market and Bakery,1,,3.6,OK
111,"455 Market St, San Francisco, CA 94105, USA",focaccia market bakery,37.790837,-122.398464,Focaccia Market Bakery,1,,4.3,OK
112,"3611 18th St, San Francisco, CA 94110, USA",pizzeria delfina,37.7614343,-122.4243551,Pizzeria Delfina,2,,4.5,OK
113,"455 Market St, San Francisco, CA 94105, USA",focaccia market bakery,37.790837,-122.398464,Focaccia Market Bakery,2,,4.3,OK
114,"3900 Geary Blvd, San Francisco, CA 94118, USA",burger king,37.7814146,-122.4612817,Burger King,1,1.0,3.5,OK
115,"816 Mission St, San Francisco, CA 94103, USA",dennys restaurant,37.7842287,-122.4049526,Denny's,2,1.0,3.4,OK
116,"333 O'Farrell St, San Francisco, CA 94102, USA",cityscape restaurant,37.785945,-122.411057,Cityscape Bar & Lounge,1,3.0,4.5,OK
117,"333 O'Farrell St, San Francisco, CA 94102, USA",sf hilton banquet facility,37.7857306,-122.4101172,Hilton San Francisco Union Square,1,,4.1,OK
118,"915 Columbus Ave, San Francisco, CA 94133, USA",cobbs comedy club,37.8029038,-122.4143395,Cobb's Comedy Club,1,2.0,4.1,OK
119,"401 Van Ness Ave, San Francisco, CA 94102, USA",herbst theater,37.7795223,-122.4210204,Herbst Theatre,1,,4.7,OK
120,"154 McAllister St, San Francisco, CA 94102, USA",elmira rosticceria,37.7809322,-122.4145085,Elmira Rosticceria,1,2.0,4.3,OK
121,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",the churro factory,37.80867300000001,-122.409821,PIER 39,1,,4.5,OK
122,"1125, 1901 Hayes St, San Francisco, CA 94117, United States",karma cafe,37.7735733,-122.44779,Karma,1,,5.0,OK
123,"646 Kearny St, San Francisco, CA 94108, USA",latte express 3 a,37.79422570000001,-122.404539,Latte Express,1,,3.9,OK
124,"2134 Van Ness Ave, San Francisco, CA 94109, USA",oh la la cake creations,37.7953835,-122.4229956,Oh La La Cake Creations,1,,0.0,OK
125,"4954 WA-303, Bremerton, WA 98311, USA",ambrosia catering company,47.608002,-122.627143,Ambrosia Catering Company,1,,4.2,OK
126,"2026 Chestnut St, San Francisco, CA 94123, USA",los hermanos,37.8008926,-122.4369413,Los Hermanos,2,1.0,4.1,OK
127,"2956 24th St, San Francisco, CA 94110, USA",double decker,37.7528136,-122.4112415,Double Decker,2,,5.0,OK
128,,starbucks coffee #11239,,,,0,,,REQUEST_DENIED
129,,starbucks coffee #10891,,,,0,,,REQUEST_DENIED
130,"5145 Mission St, San Francisco, CA 94112, USA",bravo pizza,37.7165704,-122.4408037,Bravo Pizza,1,2.0,4.5,OK
131,"2155 Bayshore Blvd, San Francisco, CA 94134, USA",piccolo pete,37.7126369,-122.4007724,Piccolo Pete,1,1.0,4.5,OK
132,"2165 Polk St, San Francisco, CA 94109, USA",starbucks coffee,37.7967465,-122.4221408,Starbucks,1,2.0,4.0,OK
133,"3995 24th St, San Francisco, CA 94114, USA",starbucks coffee,37.7513151,-122.4316782,Starbucks,1,2.0,4.2,OK
134,"74 New Montgomery St #100, San Francisco, CA 94105, USA",starbucks coffee,37.787764,-122.401087,Starbucks,1,2.0,4.2,OK
135,"1750 Divisadero St, San Francisco, CA 94115, USA",starbucks coffee,37.785936,-122.439858,Starbucks,1,2.0,3.6,OK
136,,starbucks coffee #5237,,,,0,,,REQUEST_DENIED
137,,starbucks coffee #5404,,,,0,,,REQUEST_DENIED
