Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Castro/Upper Market,200 Block of Eureka Street,94114,"(37.758295847598, -122.437966749334)",9/4/15,"$20,000.00 ",4
Chinatown,0 Block of Doric Alley,94133,"(37.795288398346, -122.410975378937)",6/9/15,"$35,000.00 ",1
Mission,200 Block of Guerrero Street,94103,"(37.767199041071, -122.424452084359)",6/10/15,"$54,000.00 ",3
Outer Mission,4000 Block of Mission Street,94112,"(37.732242625246, -122.427902108263)",6/10/15,"$115,000.00 ",2
Excelsior,300 Block of Russia Avenue,94112,"(37.720206790088, -122.434420669981)",6/4/15,"$25,000.00 ",1
Hayes Valley,800 Block of Fillmore Street,94117,"(37.777221092584, -122.431547858725)",6/12/15,"$32,500.00 ",2
Haight Ashbury,100 Block of Downey Street,94117,"(37.765418257892, -122.446783639096)",1/29/16,"$53,703.46 ",2
West of Twin Peaks,0 Block of Pinehurst Way,94127,"(37.727568575758, -122.465395678755)",8/5/15,"$7,000.00 ",1
Bernal Heights,2900 Block of Cesar Chavez Street,94110,"(37.748237393611, -122.409174716146)",6/17/15,"$80,000.00 ",1
Excelsior,300 Block of Russia Avenue,94112,"(37.720206790088, -122.434420669981)",6/17/15,"$45,000.00 ",3
Inner Sunset,900 Block of Judah Street,94122,"(37.761819307436, -122.472091115248)",1/19/16,"$20,000.00 ",2
Glen Park,1700 Block of Sanchez Street,94131,"(37.741041533219, -122.428754803843)",9/1/15,"$40,000.00 ",1
Hayes Valley,500 Block of Page Street,94117,"(37.773089317406, -122.429798621341)",9/23/15,"$15,000.00 ",1
Chinatown,700 Block of Green Street,94133,"(37.799171623989, -122.412123100282)",6/24/15,"$38,000.00 ",2
Hayes Valley,200 Block of Gough Street,94102,"(37.775244832231, -122.422713877313)",8/14/15,"$23,000.00 ",3
Haight Ashbury,1500 Block of Oak Street,94117,"(37.772133607526, -122.444859556269)",10/9/15,"$30,000.00 ",2
Presidio Heights,0 Block of Cook Street,94118,"(37.782761528073, -122.452255448148)",4/12/16,"$70,000.00 ",3
Marina,1300 Block of Francisco Street,94123,"(37.802948609701, -122.427398615745)",8/19/15,"$17,450.00 ",2
Excelsior,500 Block of Athens Street,94112,"(37.719281992308, -122.430129309919)",8/20/15,"$20,000.00 ",4
Mission,1200 Block of York Street,94110,"(37.752058749687, -122.408043927448)",10/22/15,"$34,500.00 ",3
Marina,1700 Block of Green Street,94123,"(37.797041708816, -122.427891886108)",9/4/15,"$20,000.00 ",2
Inner Richmond,200 Block of 4th Avenue,94118,"(37.783975803644, -122.462278443445)",7/2/15,"$70,000.00 ",4
Noe Valley,4400 Block of 23rd Street,94114,"(37.752384393687, -122.441643241297)",2/18/16,"$45,000.00 ",1
Castro/Upper Market,0 Block of Walter Street,94114,"(37.768393218858, -122.432312796958)",11/19/15,"$25,000.00 ",1
Russian Hill,2000 Block of Larkin Street,94109,"(37.796592926482, -122.420281529716)",9/1/15,"$20,354.00 ",2
Excelsior,100 Block of Trumbull Street,94112,"(37.730791150085, -122.427261742832)",8/14/15,"$13,000.00 ",2
Sunset/Parkside,1300 Block of 24th Avenue,94122,"(37.762398165063, -122.482348233619)",9/28/15,"$20,354.00 ",5
Nob Hill,1500 Block of Sacramento Street,94109,"(37.791759275389, -122.418390500449)",7/15/15,"$12,500.00 ",2
Visitacion Valley,3700 Block of San Bruno Avenue,94134,"(37.714891382798, -122.399790666158)",9/10/15,"$33,000.00 ",5
Bernal Heights,200 Block of Winfield Street,94110,"(37.741633579562, -122.41912899617)",7/13/15,"$36,205.00 ",4
Mission,3500 Block of 24th Street,94110,"(37.752063998834, -122.42224208188)",11/30/15,"$80,000.00 ",4
Mission,1800 Block of 15th Street,94103,"(37.766432068053, -122.42473437673)",1/13/17,"$40,175.63 ",2
Sunset/Parkside,1200 Block of 22nd Avenue,94122,"(37.764360141456, -122.480472054533)",10/19/15,"$42,000.00 ",3
Presidio Heights,1500 Block of Baker Street,94115,"(37.785283958956, -122.443344755862)",7/16/15,"$25,874.00 ",4
Mission,200 Block of San Carlos Street,94110,"(37.759383293058, -122.41997716515)",7/16/15,"$75,329.00 ",1
Mission,0 Block of Cumberland Street,94110,"(37.759042049984, -122.424722931348)",7/28/15,"$150,000.00 ",2
Mission,300 Block of Capp Street,94110,"(37.761097151561, -122.418263705905)",2/5/16,"$50,361.14 ",2
Excelsior,100 Block of Rolph Street,94112,"(37.714440362236, -122.438766892777)",9/8/15,"$1,750.00 ",1
Glen Park,2700 Block of Diamond Street,94131,"(37.734786152666, -122.433850482384)",9/23/15,"$27,517.00 ",3
Inner Sunset,400 Block of Warren Drive,94131,"(37.757976388584, -122.462011746779)",7/21/15,"$11,500.00 ",1
Mission,3600 Block of 19th Street,94110,"(37.759806799846, -122.425386497527)",9/24/15,"$7,500.00 ",1
Seacliff,100 Block of 26th Avenue,94121,"(37.786633001211, -122.486212276152)",11/20/15,"$45,068.80 ",2
Marina,1600 Block of Beach Street,94123,"(37.804585259458, -122.436256553091)",10/16/15,"$20,000.00 ",1
Chinatown,0 Block of Emery Lane,94133,"(37.798713995238, -122.409618331128)",7/24/15,"$2,000.00 ",2
Castro/Upper Market,200 Block of Diamond Street,94114,"(37.758352949647, -122.437031438772)",10/14/15,"$29,500.00 ",2
Inner Sunset,1300 Block of 12th Avenue,94122,"(37.762961983458, -122.469525974966)",10/28/15,"$48,000.00 ",2
Pacific Heights,2900 Block of Washington Street,94115,"(37.790593249105, -122.441808232843)",9/24/15,"$5,657.50 ",2
Castro/Upper Market,0 Block of Eagle Street,94114,"(37.758265540946, -122.442897529977)",7/27/15,"$30,000.00 ",2
Bayview Hunters Point,600 Block of Thornton Avenue,94124,"(37.73142054426, -122.400734026219)",7/29/15,"$2,300.00 ",1
Castro/Upper Market,3200 Block of Market Street,94114,"(37.758575644517, -122.444740673114)",8/19/15,"$5,000.00 ",1
Haight Ashbury,900 Block of Ashbury Street,94117,"(37.764691603088, -122.445790250946)",7/29/15,"$30,000.00 ",2
Inner Richmond,800 Block of Arguello Boulevard,94118,"(37.774771327734, -122.458472280276)",10/1/15,"$24,375.50 ",1
Excelsior,700 Block of Madrid Street,94112,"(37.717702198246, -122.435684591498)",9/25/15,"$29,000.00 ",2
Excelsior,700 Block of Madrid Street,94112,"(37.717702198246, -122.435684591498)",9/25/15,"$17,000.00 ",2
Marina,3000 Block of Fillmore Street,94123,"(37.797546363784, -122.43565236707)",8/6/15,"$33,298.59 ",1
Mission,0 Block of San Jose Avenue,94110,"(37.754065277275, -122.4215663195)",8/7/15,"$50,000.00 ",4
Pacific Heights,2100 Block of Pacific Avenue,94115,"(37.793926409642, -122.430637262697)",8/7/15,,2
Haight Ashbury,300 Block of Steiner Street,94117,"(37.77235458032, -122.432254532613)",8/7/15,"$14,000.00 ",1
Lone Mountain/USF,0 Block of Terra Vista Avenue,94115,"(37.78148993865, -122.44332591489)",8/7/15,"$4,000.00 ",2
Mission,200 Block of San Jose Avenue,94110,"(37.751243964324, -122.421585334268)",11/10/15,"$20,000.00 ",1
Castro/Upper Market,1900 Block of 15th Street,94114,"(37.766216889386, -122.42829350398)",8/7/15,"$51,325.00 ",3
Inner Sunset,900 Block of Judah Street,94122,"(37.761819307436, -122.472091115248)",10/8/15,"$20,354.00 ",2
Tenderloin,500 Block of Leavenworth Street,94109,"(37.786059845334, -122.414643592587)",8/11/15,"$25,000.00 ",1
Sunset/Parkside,1200 Block of 48th Avenue,94122,"(37.763130101351, -122.508334049767)",8/12/15,"$40,000.00 ",2
Bernal Heights,1600 Block of Florida Street,94110,"(37.747182013495, -122.409228475773)",8/13/15,"$20,000.00 ",2
Castro/Upper Market,2200 Block of 15th  Street,94114,"(37.765739788651, -122.434358454096)",10/28/15,"$62,000.00 ",2
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",8/14/15,"$35,000.00 ",1
Sunset/Parkside,1800 Block of 22nd Avenue,94122,"(37.753163589675, -122.479691469597)",8/21/15,"$40,000.00 ",1
Pacific Heights,2600 Block of Sacramento Street,94115,"(37.789579691979, -122.436506794631)",11/17/15,"$69,500.00 ",1
Mission,1100 Block of Shotwell Street,94110,"(37.750041587611, -122.414868812818)",11/24/15,"$105,733.32 ",4
Sunset/Parkside,1700 Block of 26th Avenue,94122,"(37.754840507541, -122.484108127485)",8/20/15,"$5,000.00 ",1
Outer Richmond,200 Block of 16th Avenue,94118,"(37.783391520814, -122.475234084038)",4/6/16,"$55,000.00 ",2
Mission,2600 Block of Mission Street,94110,"(37.754640937473, -122.418601779737)",12/1/15,"$75,690.00 ",1
Mission,600 Block of Capp Street,94110,"(37.756305875432, -122.417666463718)",12/1/15,"$30,000.00 ",1
Castro/Upper Market,3700 Block of 16th Street,94114,"(37.763747423442, -122.436871167904)",8/26/15,"$40,000.00 ",2
Bernal Heights,0 Block of College Terrace,94112,"(37.734597981874, -122.426168703889)",2/9/16,"$8,950.00 ",1
Mission,900 Block of Valencia Street,94110,"(37.757305864794, -122.421086718243)",12/22/15,"$89,518.33 ",4
Haight Ashbury,100 Block of Frederick Street,94117,"(37.767428765432, -122.445149029157)",10/2/15,"$25,700.00 ",2
Lone Mountain/USF,1900 Block of Fulton Street,94117,"(37.775494949199, -122.4484478813)",11/25/15,"$20,000.00 ",2
Outer Richmond,3000 Block of Balboa Street,94121,"(37.775929598182, -122.491418998872)",10/21/15,"$5,551.00 ",1
Mission,2900 Block of Mission Street,94110,"(37.74984462225, -122.418142583157)",9/1/15,"$8,500.00 ",2
Outer Richmond,700 Block of 44th Avenue,94121,"(37.774441994942, -122.504679223305)",10/27/15,"$45,600.00 ",2
Marina,1900 Block of Union Street,94123,"(37.797609946692, -122.43183185795)",9/8/15,"$100,000.00 ",1
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",9/8/15,"$48,500.00 ",1
Mission,0 Block of Adair Street,94103,"(37.765773954384, -122.418093215831)",11/19/15,"$5,000.00 ",1
Noe Valley,3800 Block of Cesar Chavez Street,94131,"(37.747817860685, -122.425912008878)",9/14/15,"$48,400.00 ",1
