Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",7/21/16,"$48,500.00 ",1
Bernal Heights,0 Block of Cortland Avenue,94110,"(37.740449686409, -122.421267489444)",11/1/16,"$32,750.00 ",2
Western Addition,1300 Block of Mcallister Street,94115,"(37.778371858034, -122.434240837304)",4/10/17,"$50,000.00 ",4
Inner Richmond,200 Block of 12th Avenue,94118,"(37.783591589024, -122.470844646041)",1/6/17,"$32,500.00 ",1
Bayview Hunters Point,1400 Block of Oakdale Avenue,94124,"(37.732955634541, -122.387590806567)",9/16/16,"$32,900.00 ",2
Mission,500 Block of Bartlett Street,94110,"(37.748572425162, -122.419277597921)",12/29/16,"$7,500.00 ",1
Sunset/Parkside,1400 Block of 35th Avenue,94122,"(37.760013295211, -122.494005782802)",11/1/16,"$54,859.24 ",2
Excelsior,400 Block of Moscow Street,94112,"(37.720512728155, -122.428284036383)",8/30/16,"$14,880.00 ",2
Portola,800 Block of Goettingen Street,94134,"(37.721397785707, -122.40435712373)",8/15/16,"$37,500.00 ",2
Bernal Heights,3400 Block of Mission Street,94110,"(37.741368855583, -122.422541993376)",10/11/16,"$40,000.00 ",4
Russian Hill,1600 Block of Washington Street,94109,"(37.793416640271, -122.420415462262)",8/1/16,"$25,000.00 ",1
West of Twin Peaks,0 Block of Malta Drive,94131,"(37.735431000536, -122.443949690749)",3/1/17,"$14,500.00 ",2
Western Addition,600 Block of Baker Street,94117,"(37.776912870426, -122.441514932469)",9/22/16,"$25,000.00 ",1
Mission,500 Block of Dolores Street,94110,"(37.760637683614, -122.425843697547)",12/15/16,"$95,000.00 ",1
Noe Valley,700 Block of Douglass Street,94114,"(37.75222428856, -122.438658355622)",11/6/17,"$51,158.00 ",1
Noe Valley,900 Block of Sanchez Street,94114,"(37.753561848684, -122.42977713006)",10/25/16,"$30,000.00 ",2
Glen Park,100 Block of Charles Street,94131,"(37.73833695188, -122.425660801005)",5/5/17,"$27,000.00 ",1
Sunset/Parkside,2300 Block of 39th Avenue,94116,"(37.743036028651, -122.497251348542)",12/13/16,"$7,000.00 ",1
Hayes Valley,1200 Block of Grove Street,94117,"(37.775977386914, -122.437143056905)",10/27/16,"$6,000.00 ",1
Sunset/Parkside,2700 Block of 36th Avenue,94116,"(37.735784076432, -122.493404518526)",8/11/16,"$29,451.00 ",4
Hayes Valley,700 Block of Hayes Street,94102,"(37.776203209424, -122.428744875404)",8/15/16,"$5,500.00 ",1
Visitacion Valley,300 Block of Leland Avenue,94134,"(37.713574775029, -122.411366670859)",10/14/16,"$25,937.50 ",1
Pacific Heights,2100 Block of California Street,94115,"(37.789374886518, -122.429717207144)",10/21/16,"$16,500.00 ",1
Bernal Heights,0 Block of 29th Street,94110,"(37.743953743371, -122.421430546192)",11/1/16,"$8,000.00 ",2
Potrero Hill,600 Block of Vermont Street,94107,"(37.761469063937, -122.404265613745)",10/31/16,"$22,725.00 ",1
Chinatown,700 Block of Green Street,94133,"(37.799306875621, -122.411052651187)",12/29/17,"$285,000.00 ",1
Noe Valley,500 Block of Alvarado Street,94114,"(37.753701722911, -122.433203209478)",12/13/16,"$70,619.01 ",4
Bernal Heights,0 Block of Rosenkranz Street,94110,"(37.742010229363, -122.410752344444)",10/24/16,,1
Outer Richmond,5700 Block of Geary Boulevard,94121,"(37.780134514595, -122.480970662876)",5/4/17,"$54,000.00 ",1
Lone Mountain/USF,1500 Block of Fulton Street,94117,"(37.776384773894, -122.442321333639)",11/21/16,"$10,640.00 ",3
Haight Ashbury,1400 Block of Waller Street,94117,"(37.768862804009, -122.447967737413)",9/26/16,"$9,000.00 ",3
Bayview Hunters Point,1400 Block of Revere Avenue,94124,"(37.73002972158, -122.387395567646)",2/24/17,"$20,000.00 ",1
Inner Richmond,200 Block of 3rd Avenue,94118,"(37.784019158162, -122.461341037155)",6/30/17,"$16,762.73 ",2
Mission,3500 Block of 20th Street,94110,"(37.758510056055, -122.4201688258)",10/26/16,"$6,990.00 ",1
Haight Ashbury,400 Block of Belvedere Street,94117,"(37.763790231353, -122.44812334762)",11/23/16,"$90,000.00 ",2
Hayes Valley,0 Block of Buchanan Street,94102,"(37.770077899098, -122.426592754518)",5/10/17,"$28,000.00 ",1
Bernal Heights,100 Block of Ellsworth Street,94110,"(37.740946075869, -122.41442704419)",10/26/16,"$25,000.00 ",2
Lone Mountain/USF,400 Block of Lyon Street,94117,"(37.774818422928, -122.442918467594)",11/15/16,"$24,500.00 ",1
Russian Hill,2200 Block of Larkin Street,94109,"(37.798371864308, -122.420498877752)",10/13/17,"$15,000.00 ",1
Potrero Hill,700 Block of Rhode Island Street,94107,"(37.760308806704, -122.402210445924)",9/1/16,"$20,000.00 ",1
Hayes Valley,100 Block of Haight Street,94102,"(37.772791620267, -122.424624269959)",11/7/16,"$15,000.00 ",1
Haight Ashbury,700 Block of Stanyan Street,94117,"(37.767785058374, -122.453190198739)",10/28/16,$600.00 ,1
Outer Richmond,1500 Block of Balboa Street,94118,"(37.776662437399, -122.475350817317)",11/2/16,"$20,000.00 ",1
Visitacion Valley,100 Block of Teddy Avenue,94134,"(37.714178804797, -122.405486548812)",11/3/16,"$30,000.00 ",2
Outer Richmond,4000 Block of Cabrillo Street,94121,"(37.773682934327, -122.502002957284)",11/18/16,"$35,000.00 ",2
Russian Hill,2500 Block of Polk Street,94109,"(37.800167604342, -122.422550837706)",11/17/16,"$40,000.00 ",2
Pacific Heights,2100 Block of California Street,94115,"(37.789374886518, -122.429717207144)",11/17/16,"$60,000.00 ",1
Nob Hill,800 Block of Hyde Street,94109,"(37.788652789762, -122.41685368982)",3/2/17,"$60,000.00 ",2
Sunset/Parkside,1600 Block of 24th Avenue,94122,"(37.756798354102, -122.482094455461)",2/6/17,"$57,400.00 ",3
Haight Ashbury,200 Block of Downey Street,94117,"(37.765418257892, -122.446783639096)",3/24/17,"$30,000.00 ",1
Castro/Upper Market,3800 Block of 18th Street,94114,"(37.761277298987, -122.429469068506)",11/23/16,"$75,000.00 ",2
Excelsior,700 Block of Brazil Avenue,94112,"(37.721783293682, -122.428876482764)",12/8/16,"$30,000.00 ",8
Hayes Valley,400 Block of Linden Street,94102,"(37.776153506363, -122.425377176917)",11/21/16,"$39,757.13 ",1
Noe Valley,1100 Block of Sanchez Street,94114,"(37.751162020836, -122.429686576706)",11/8/16,"$20,000.00 ",1
Outer Richmond,1400 Block of Clement Street,94118,"(37.782538010531, -122.474677115828)",11/18/16,"$52,500.00 ",2
Noe Valley,200 Block of Grand View Avenue,94114,"(37.753719222792, -122.441407506124)",12/19/16,"$27,258.69 ",2
Noe Valley,3900 Block of 26th Street,94131,"(37.748483821874, -122.428239848114)",2/16/17,"$96,785.00 ",2
North Beach,1800 Block of Stockton Street,94133,"(37.802778254669, -122.409586942105)",9/21/16,"$19,390.00 ",1
Bernal Heights,0 Block of College Terrace,94112,"(37.734597981874, -122.426168703889)",9/21/16,"$10,000.00 ",1
Bernal Heights,0 Block of College Terrace,94112,"(37.734597981874, -122.426168703889)",9/21/16,"$10,000.00 ",1
Pacific Heights,2000 Block of Broderick Street,94115,"(37.789230589567, -122.442318543029)",11/14/16,"$10,000.00 ",2
Haight Ashbury,100 Block of Baker Street,94117,"(37.772254695359, -122.440572356401)",1/31/17,"$49,552.50 ",1
Oceanview/Merced/Ingleside,0 Block of Brighton Avenue,94112,"(37.719136183665, -122.4551840018)",9/26/16,"$38,000.00 ",2
Western Addition,1800 Block of Turk Street,94115,"(37.779494968816, -122.439556998155)",7/19/17,"$10,000.00 ",1
Twin Peaks,100 Block of Gladeview Way,94131,"(37.75203178419, -122.450511726423)",11/21/16,"$30,000.00 ",2
Haight Ashbury,200 Block of Downey Street,94117,"(37.765418257892, -122.446783639096)",3/24/17,"$50,000.00 ",2
Hayes Valley,100 Block of Haight Street,94102,"(37.772900089786, -122.424646169167)",4/10/17,"$85,000.00 ",2
Mission,800 Block of York Street,94110,"(37.758467996571, -122.40879783772)",9/28/16,"$40,000.00 ",4
Excelsior,700 Block of Rolph Street,94112,"(37.711855116215, -122.431001018992)",12/2/16,"$10,000.00 ",3
Hayes Valley,300 Block of Buchanan Street,94102,"(37.772772496986, -122.427141201971)",1/11/17,"$12,000.00 ",2
Lone Mountain/USF,100 Block of Wood Street,94118,"(37.781521038792, -122.448987653708)",3/20/17,"$75,000.00 ",2
Inner Sunset,200 Block of Lincoln Way,94122,"(37.766087774671, -122.460552723843)",2/16/17,"$60,750.00 ",2
Bernal Heights,200 Block of Precita Avenue,94110,"(37.747374753984, -122.415501873961)",5/16/17,"$104,250.00 ",2
Castro/Upper Market,300 Block of Liberty Street,94114,"(37.757322453303, -122.429051968676)",11/21/16,"$50,000.00 ",2
Nob Hill,1500 Block of Sacramento Street,94109,"(37.791867606727, -122.418413462672)",12/14/16,"$25,000.00 ",1
Outer Richmond,400 Block of 14th Avenue,94118,"(37.779664252579, -122.47284533062)",10/7/16,"$39,597.00 ",4
Mission,2900 Block of Folsom Street,94110,"(37.750099105183, -122.413917171629)",10/12/16,"$22,000.00 ",1
Outer Richmond,600 Block of 32nd Avenue,94121,"(37.776888209878, -122.492096250155)",2/8/17,"$35,000.00 ",1
Hayes Valley,0 Block of Steiner Street,94117,"(37.769679684478, -122.431575371699)",1/4/17,"$73,000.00 ",3
Pacific Heights,2200 Block of Sutter Street,94115,"(37.785617808192, -122.437392724832)",2/8/17,"$65,000.00 ",1
Potrero Hill,1300 Block of De Haro Street,94107,"(37.752368962242, -122.400289527868)",10/18/16,"$11,780.00 ",2
Bernal Heights,200 Block of Richland Avenue,94110,"(37.73590726137, -122.42165327531)",2/2/17,"$24,320.00 ",2
Sunset/Parkside,3800 Block of Irving Street,94122,"(37.762647929824, -122.499095220458)",11/21/16,"$13,701.00 ",2
West of Twin Peaks,100 Block of Burnside Avenue,94131,"(37.733500431369, -122.438752505543)",1/9/17,"$12,000.00 ",2
West of Twin Peaks,100 Block of Burnside Avenue,94131,"(37.733500431369, -122.438752505543)",12/15/16,"$1,000.00 ",2
Outer Richmond,200 Block of 19th Avenue,94121,"(37.78324433967, -122.478442077915)",1/9/17,"$77,000.00 ",1
Castro/Upper Market,100 Block of Eureka Street,94114,"(37.759888327869, -122.438257852775)",12/27/16,"$11,780.00 ",2
Nob Hill,1100 Block of Pine Street,94109,"(37.7903887575, -122.414938764111)",10/27/16,"$7,200.00 ",1
Mission,2800 Block of Folsom Street,94110,"(37.751708669403, -122.41393694174)",2/22/17,"$130,000.00 ",1
Noe Valley,700 Block of Clipper Street,94114,"(37.748696513963, -122.440449238871)",3/17/17,"$52,832.80 ",2
Outer Richmond,1700 Block of Cabrillo Street,94121,"(37.774809244859, -122.477368820667)",2/27/17,"$50,000.00 ",3
Outer Richmond,1700 Block of Cabrillo Street,94121,"(37.774809244859, -122.477368820667)",5/11/17,"$27,725.00 ",2
Noe Valley,1100 Block of Church Street,94114,"(37.752874933688, -122.427474292903)",10/28/16,"$45,000.00 ",2
Haight Ashbury,0 Block of Beulah Street,94117,"(37.767537139656, -122.450899914748)",12/22/16,"$64,633.00 ",1
West of Twin Peaks,300 Block of Kensington Way,94127,"(37.74310782865, -122.462465499872)",12/22/16,"$25,000.00 ",2
Mission,1000 Block of Florida Street,94110,"(37.755145361221, -122.410227658828)",11/7/16,,1
Japantown,1700 Block of Steiner Street,94115,"(37.785418772971, -122.434755485233)",10/10/17,"$82,500.00 ",4
Excelsior,1000 Block of Prague Street,94112,"(37.710146839875, -122.438125664879)",7/3/17,"$56,600.00 ",2
Noe Valley,400 Block of Hoffman Avenue,94114,"(37.750097153605, -122.440606260273)",4/17/17,"$88,400.35 ",2
Inner Sunset,200 Block of Lincoln Way,94122,"(37.766087774671, -122.460552723843)",11/4/16,"$132,000.00 ",1
Nob Hill,1000 Block of Sutter Street,94109,"(37.788126303289, -122.417657213518)",11/7/16,"$40,000.00 ",2
Mission,1000 Block of Natoma Street,94103,"(37.773137785634, -122.416456977713)",2/14/17,"$30,000.00 ",2
Russian Hill,900 Block of Greenwich Street,94133,"(37.801501506769, -122.415530627366)",2/22/17,"$102,053.00 ",1
Pacific Heights,2600 Block of Sacramento Street,94115,"(37.78947120183, -122.436485055904)",1/19/17,"$7,500.00 ",1
Mission,800 Block of South Van Ness Avenue,94110,"(37.759569786146, -122.416880162067)",5/9/17,"$90,000.00 ",2
Marina,100 Block of Alhambra Street,94123,"(37.8020349437, -122.438832002132)",4/10/17,"$115,000.00 ",2
Mission,800 Block of South Van Ness Avenue,94110,"(37.759569786146, -122.416880162067)",5/9/17,"$70,000.00 ",1
Mission,1100 Block of York Street,94110,"(37.753656818683, -122.408196896959)",8/2/17,"$75,000.00 ",4
Mission,1100 Block of York Street,94110,"(37.753656818683, -122.408196896959)",8/2/17,"$128,000.00 ",3
Excelsior,300 Block of Rolph Street,94112,"(37.713160429888, -122.435633085744)",6/30/17,"$32,000.00 ",6
Mission,900 Block of York Street,94110,"(37.756848775905, -122.408644241138)",1/27/17,"$70,000.00 ",2
Mission,3400 Block of 19th Street,94110,"(37.760157365108, -122.419585247274)",1/3/17,"$40,000.00 ",2
Mission,2800 Block of Harrison Street,94110,"(37.751835432081, -122.41175404762)",11/21/16,"$35,000.00 ",1
West of Twin Peaks,500 Block of Wildwood Way,94112,"(37.727526340576, -122.461345809993)",6/22/17,"$52,250.00 ",2
Nob Hill,0 Block of Glover Street,94109,"(37.797126687253, -122.416102200193)",11/23/16,"$3,000.00 ",1
Inner Sunset,1400 Block of Funston Avenue,94122,"(37.761058316356, -122.470330705499)",4/12/17,"$42,000.00 ",2
Presidio Heights,1500 Block of Lyon Street,94115,"(37.785074132386, -122.444993931198)",12/20/16,"$35,040.00 ",2
Pacific Heights,2200 Block of California Street,94115,"(37.789274101417, -122.431384792446)",1/24/17,"$27,500.00 ",2
Haight Ashbury,1000 Block of Masonic Avenue,94117,"(37.77161949319, -122.44555757424)",11/21/17,"$55,718.80 ",1
Pacific Heights,1800 Block of Lyon Street,94115,"(37.787909628656, -122.445427072827)",2/6/17,"$63,500.00 ",4
North Beach,0 Block of Sonoma Street,94133,"(37.800310628213, -122.406381656295)",7/6/17,"$47,310.00 ",1
Castro/Upper Market,0 Block of Lower Terrace,94114,"(37.762935029682, -122.441496998754)",4/11/17,"$35,000.00 ",1
Oceanview/Merced/Ingleside,100 Block of Farallones Street,94112,"(37.714011116114, -122.457547776797)",1/25/17,"$30,000.00 ",5
Bayview Hunters Point,100 Block of Nueva Avenue,94134,"(37.712118208366, -122.397069395275)",1/31/17,"$50,000.00 ",1
Tenderloin,600 Block of Ofarrell Street,94109,"(37.785436479792, -122.415336129165)",3/29/17,"$20,000.00 ",2
Presidio Heights,600 Block of Spruce Street,94118,"(37.782877292868, -122.453478866439)",5/2/17,"$20,000.00 ",1
Castro/Upper Market,3900 Block of 18th Street,94114,"(37.761143168245, -122.431688789488)",3/23/17,"$25,000.00 ",2
Noe Valley,200 Block of Chattanooga Street,94114,"(37.752569395216, -122.426336372717)",5/31/17,"$26,000.00 ",4
Bayview Hunters Point,1700 Block of La Salle Avenue,94124,"(37.738027500691, -122.391497205773)",8/21/17,"$41,000.00 ",1
Pacific Heights,1700 Block of Broadway Street,94109,"(37.795475651547, -122.425889481368)",9/18/17,"$11,000.00 ",1
Mission,2200 Block of Bryant Street,94110,"(37.758015233242, -122.409672653632)",2/6/17,"$10,000.00 ",2
Russian Hill,1400 Block of Broadway Street,94109,"(37.796135045968, -122.420951806797)",2/27/17,"$38,000.00 ",1
Haight Ashbury,1900 Block of Oak Street,94117,"(37.771301303183, -122.451412659823)",11/9/17,"$12,500.00 ",2
Mission,500 Block of South Van Ness Avenue,94110,"(37.764373209544, -122.417478491697)",6/2/17,"$29,500.00 ",3
Inner Sunset,1200 Block of 9th Avenue,94122,"(37.764977785911, -122.4664456379)",3/6/17,"$32,000.00 ",3
Sunset/Parkside,1500 Block of 35th Avenue,94122,"(37.758146502223, -122.493874640158)",1/4/17,"$35,000.00 ",3
Bernal Heights,300 Block of Alemany Boulevard,94110,"(37.734070470275, -122.412369796669)",8/21/17,"$29,286.00 ",2
Western Addition,1500 Block of Mcallister Street,94115,"(37.77784606015, -122.437520119093)",4/11/17,"$80,000.00 ",2
Bernal Heights,500 Block of Andover Street,94110,"(37.737138803078, -122.416552981699)",7/11/17,"$30,000.00 ",3
Lone Mountain/USF,1900 Block of Fell Street,94117,"(37.772527512775, -122.449976001328)",4/4/17,"$36,000.00 ",1
Inner Richmond,400 Block of 4th Avenue,94118,"(37.780151949693, -122.462001728324)",5/10/17,"$6,000.00 ",1
Outer Richmond,400 Block of 22nd Avenue,94121,"(37.779271704668, -122.481379084993)",3/20/17,"$65,000.00 ",2
Outer Richmond,2300 Block of Balboa Street,94121,"(37.776271750294, -122.48392141477)",3/20/17,"$38,504.00 ",2
Inner Sunset,300 Block of Lawton Street,94122,"(37.758475961591, -122.466460103223)",4/27/17,"$29,630.00 ",2
Castro/Upper Market,200 Block of Eureka Street,94114,"(37.758295847598, -122.437966749334)",5/22/17,"$87,936.00 ",1
Castro/Upper Market,200 Block of Eureka Street,94114,"(37.758295847598, -122.437966749334)",5/22/17,"$87,500.00 ",1
Inner Richmond,600 Block of 4th Avenue,94118,"(37.776402745759, -122.461731745079)",3/30/17,"$31,556.65 ",2
Lone Mountain/USF,100 Block of Beaumont Avenue,94118,"(37.779518694965, -122.454767801104)",8/2/17,"$85,000.00 ",4
Noe Valley,100 Block of Hoffman Avenue,94114,"(37.752905528009, -122.440744402584)",5/26/17,"$53,000.00 ",1
Hayes Valley,1400 Block of Hayes Street,94117,"(37.774727086549, -122.440299348994)",4/17/17,"$47,484.00 ",4
Hayes Valley,1400 Block of Grove Street,94117,"(37.775663377253, -122.440489225361)",5/17/17,"$80,000.00 ",4
Hayes Valley,1400 Block of Grove Street,94117,"(37.775663377253, -122.440489225361)",7/25/17,"$100,383.60 ",4
Sunset/Parkside,1500 Block of 43rd Avenue,94122,"(37.757770434909, -122.502447013201)",4/5/17,"$5,310.00 ",1
Bayview Hunters Point,2600 Block of Phelps Street,94124,"(37.728929745154, -122.401170689356)",2/17/17,"$12,000.00 ",2
Japantown,2200 Block of Sutter Street,94115,"(37.78550932215, -122.437370954133)",2/6/17,"$12,500.00 ",1
Bayview Hunters Point,1000 Block of Ingerson Avenue,94124,"(37.719689128717, -122.393876589377)",3/30/17,,1
Oceanview/Merced/Ingleside,0 Block of Kempton Avenue,94132,"(37.711457663884, -122.468365695899)",6/19/17,"$35,000.00 ",2
Castro/Upper Market,600 Block of Castro Street,94114,"(37.758483623129, -122.434844610371)",6/19/17,"$65,000.00 ",2
Castro/Upper Market,600 Block of Castro Street,94114,"(37.758483623129, -122.434844610371)",6/19/17,"$65,000.00 ",2
Castro/Upper Market,600 Block of Castro Street,94114,"(37.758483623129, -122.434844610371)",6/19/17,"$81,435.08 ",2
Castro/Upper Market,600 Block of Castro Street,94114,"(37.758483623129, -122.434844610371)",6/19/17,"$65,000.00 ",2
Glen Park,400 Block of Laidley Street,94131,"(37.736461695083, -122.430113935292)",9/25/17,"$10,476.70 ",1
Noe Valley,200 Block of 30th Street,94131,"(37.742174019697, -122.426171158063)",4/28/17,"$20,000.00 ",1
Pacific Heights,1700 Block of Vallejo Street,94123,"(37.796322545941, -122.426060344087)",4/10/17,"$8,000.00 ",2
Hayes Valley,500 Block of Oak Street,94102,"(37.774339185796, -122.428373303014)",5/3/17,"$30,000.00 ",1
Sunset/Parkside,2000 Block of 31st Avenue,94116,"(37.749013432779, -122.488932363201)",5/30/17,"$50,639.36 ",5
Outer Richmond,6400 Block of California Street,94121,"(37.783754616521, -122.486615769744)",6/12/17,"$59,500.00 ",2
Haight Ashbury,700 Block of Cole Street,94117,"(37.768137494592, -122.450359833682)",5/9/17,"$41,380.00 ",2
Pacific Heights,2300 Block of Pacific Avenue,94115,"(37.793506649764, -122.433922047772)",4/9/18,"$23,788.40 ",2
Pacific Heights,2300 Block of Pacific Avenue,94115,"(37.793506649764, -122.433922047772)",8/16/17,"$7,786.03 ",1
Pacific Heights,2300 Block of Pacific Avenue,94115,"(37.793506649764, -122.433922047772)",9/5/17,"$20,953.40 ",2
Oceanview/Merced/Ingleside,0 Block of Lee Avenue,94112,"(37.719106313486, -122.45401979515)",4/19/17,"$28,000.00 ",2
Pacific Heights,2800 Block of Sacramento Street,94115,"(37.789047608593, -122.439780969456)",6/20/17,"$41,306.13 ",1
Sunset/Parkside,1600 Block of 48th Avenue,94122,"(37.755664479278, -122.507808351547)",2/21/17,"$40,000.00 ",2
Nob Hill,1200 Block of Taylor Street,94108,"(37.79388530616, -122.412851827445)",5/17/17,"$2,500.00 ",2
Sunset/Parkside,1200 Block of 22nd Avenue,94122,"(37.764360141456, -122.480472054533)",3/6/17,,1
Lone Mountain/USF,1600 Block of Grove Street,94117,"(37.775136574397, -122.44375821042)",5/30/17,"$57,246.57 ",3
Noe Valley,3900 Block of 26th Street,94131,"(37.748483821874, -122.428239848114)",2/16/17,"$96,785.00 ",2
Outer Richmond,600 Block of 33rd Avenue,94121,"(37.776839383036, -122.493175111385)",4/21/17,"$4,500.00 ",2
West of Twin Peaks,0 Block of Nordhoff Street,94131,"(37.733792512586, -122.44096830509)",4/12/17,"$2,450.00 ",1
Pacific Heights,2300 Block of Pacific Avenue,94115,"(37.793506649764, -122.433922047772)",6/27/17,"$7,194.00 ",1
Pacific Heights,2300 Block of Pacific Avenue,94115,"(37.793506649764, -122.433922047772)",6/12/17,"$14,000.01 ",1
Outer Mission,1900 Block of San Jose Avenue,94112,"(37.72535991352, -122.442669087981)",8/18/17,"$3,000.00 ",1
Outer Mission,1900 Block of San Jose Avenue,94112,"(37.72535991352, -122.442669087981)",8/18/17,"$4,200.00 ",1
Hayes Valley,300 Block of Laguna Street,94102,"(37.774374238371, -122.425773080269)",4/25/17,"$21,000.00 ",2
Outer Mission,1900 Block of San Jose Avenue,94112,"(37.72535991352, -122.442669087981)",8/18/17,"$3,000.00 ",1
Outer Mission,1900 Block of San Jose Avenue,94112,"(37.72535991352, -122.442669087981)",8/18/17,"$3,000.00 ",1
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782032855429, -122.463211510027)",6/28/17,"$27,333.33 ",1
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782032855429, -122.463211510027)",6/28/17,"$27,333.33 ",1
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782032855429, -122.463211510027)",6/28/17,"$27,333.33 ",1
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782032855429, -122.463211510027)",6/28/17,"$27,333.33 ",1
Inner Richmond,300 Block of 5th Avenue,94118,"(37.782032855429, -122.463211510027)",6/28/17,"$27,333.33 ",2
Sunset/Parkside,2700 Block of 41st Avenue,94116,"(37.7354674298, -122.498871451577)",9/20/17,"$45,000.00 ",2
Marina,2900 Block of Gough Street,94123,"(37.800450700301, -122.42766682239)",5/31/17,"$14,500.00 ",1
North Beach,500 Block of Chestnut Street,94133,"(37.803831051039, -122.412205194331)",5/31/17,"$17,500.00 ",2
Excelsior,100 Block of Edinburgh Street,94112,"(37.726650816834, -122.427832965158)",6/5/17,"$50,000.00 ",1
Twin Peaks,0 Block of Hopkins Avenue,94131,"(37.752989749456, -122.444166990162)",5/2/17,"$18,500.00 ",1
Castro/Upper Market,3400 Block of 16th Street,94114,"(37.764451394418, -122.430505309316)",8/21/17,"$106,440.00 ",1
West of Twin Peaks,0 Block of Hearst Avenue,94131,"(37.730790380412, -122.439215561088)",3/9/17,,1
Sunset/Parkside,1900 Block of Sloat Boulevard,94116,"(37.733969056982, -122.495544493465)",8/28/17,"$21,000.00 ",1
Castro/Upper Market,100 Block of Buena Vista Terrace,94117,"(37.766922802186, -122.438107893514)",4/26/17,"$10,000.00 ",2
Excelsior,700 Block of Rolph Street,94112,"(37.711855116215, -122.431001018992)",5/23/17,"$35,000.00 ",4
Glen Park,200 Block of Whitney Street,94131,"(37.738014884042, -122.427300453872)",6/9/17,"$9,782.26 ",2
Pacific Heights,1700 Block of Vallejo Street,94123,"(37.796322545941, -122.426060344087)",7/6/17,"$17,473.21 ",2
Sunset/Parkside,2400 Block of 22nd Avenue,94116,"(37.741978854749, -122.478770522182)",5/8/17,"$15,000.00 ",2
Excelsior,500 Block of Rolph Street,94112,"(37.711982113994, -122.433004884043)",6/27/17,"$30,000.00 ",3
Marina,2600 Block of Greenwich Street,94123,"(37.797951434852, -122.443292158405)",7/28/17,"$40,000.00 ",4
Mission,3300 Block of 19th Street,94110,"(37.760388813066, -122.41757721483)",8/4/17,"$42,000.00 ",4
Outer Mission,1900 Block of San Jose Avenue,94112,"(37.72535991352, -122.442669087981)",4/19/18,"$15,715.06 ",1
Outer Mission,1900 Block of San Jose Avenue,94112,"(37.72535991352, -122.442669087981)",4/19/18,"$13,619.73 ",1
Presidio,2600 Block of Lyon Street,94123,"(37.795166946312, -122.446868088313)",8/22/17,"$34,000.00 ",1
Mission,0 Block of Hill Street,94110,"(37.756091162673, -122.422133070986)",6/5/17,"$40,000.00 ",2
Mission,0 Block of Hill Street,94110,"(37.756091162673, -122.422133070986)",6/5/17,"$62,600.00 ",1
Tenderloin,100 Block of Ellis Street,94102,"(37.78549414268, -122.408270724606)",2/16/18,"$62,250.00 ",2
Tenderloin,100 Block of Ellis Street,94102,"(37.78549414268, -122.408270724606)",2/16/18,"$62,250.00 ",1
Tenderloin,100 Block of Ellis Street,94102,"(37.78549414268, -122.408270724606)",12/18/17,"$60,000.00 ",1
Haight Ashbury,700 Block of Duboce Avenue,94117,"(37.769140890759, -122.435349041601)",10/13/17,"$35,000.00 ",1
Outer Richmond,2200 Block of Clement Street,94121,"(37.782044350563, -122.48326578536)",3/28/17,"$55,000.00 ",1
Bernal Heights,700 Block of Ellsworth Street,94110,"(37.732924646536, -122.416428558162)",6/2/17,"$40,000.00 ",2
Excelsior,500 Block of Naples Street,94112,"(37.720105430381, -122.431854357033)",9/20/17,"$64,000.00 ",3
Castro/Upper Market,200 Block of Upper Terrace,94117,"(37.76285496554, -122.445069216182)",7/28/17,"$59,055.00 ",2
Sunset/Parkside,1800 Block of 35th Avenue,94122,"(37.752546304762, -122.493622363448)",5/26/17,$0.00 ,2
Inner Sunset,0 Block of Forest Knolls Drive,94131,"(37.756342116761, -122.454841188052)",8/9/17,"$18,785.00 ",1
Lone Mountain/USF,1500 Block of Fulton Street,94117,"(37.776276302674, -122.442299447306)",8/11/17,"$167,000.00 ",4
Bernal Heights,100 Block of Ellert Street,94110,"(37.738411255969, -122.417199146545)",6/30/17,"$40,000.00 ",2
Nob Hill,1100 Block of Leavenworth Street,94109,"(37.791382837351, -122.415715549277)",12/11/17,"$60,000.00 ",1
Noe Valley,4100 Block of 25th Street,94114,"(37.749817567642, -122.432828272657)",6/5/17,"$21,540.00 ",1
Lone Mountain/USF,100 Block of Masonic Avenue,94118,"(37.780598275502, -122.447564062772)",8/11/17,"$29,446.00 ",1
Noe Valley,600 Block of Douglass Street,94114,"(37.753827054748, -122.438810909555)",8/7/17,"$3,550.00 ",2
North Beach,2100 Block of Mason Street,94133,"(37.803303185961, -122.413060207568)",5/10/17,"$78,091.95 ",1
Hayes Valley,600 Block of Octavia Street,94102,"(37.778313601789, -122.424882716869)",4/21/17,"$10,000.00 ",1
Visitacion Valley,200 Block of Wilde Avenue,94134,"(37.716241114558, -122.401619212333)",6/5/17,"$29,050.00 ",2
Sunset/Parkside,2700 Block of 43rd Avenue,94116,"(37.735756788607, -122.500906978815)",6/21/17,"$23,867.22 ",2
