,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
729,ROOFTOP,"366 Golden Gate Ave, San Francisco, CA 94102, USA",ChIJN9VzbZqAhYAR0Yc1H2mIEmA,"366 golden gate ave, San Francisco, CA, 94102",37.7818371,-122.4166946,1,94102,OK,street_address
730,ROOFTOP,"1607 Haight St, San Francisco, CA 94117, USA",ChIJ9_nbBFOHhYARZDE7rVlMA6Q,"1607 haight st, San Francisco, CA, 94117",37.7696375,-122.4489461,1,94117,OK,street_address
731,ROOFTOP,"417 Castro St, San Francisco, CA 94114, USA",ChIJja9DURt-j4ARJFFM-Mnmdf8,"417 castro st, San Francisco, CA, 94114",37.7622828,-122.434936,1,94114,OK,street_address
732,ROOFTOP,"4166 24th St, San Francisco, CA 94114, USA",ChIJnVUzig1-j4ARulNPvkwAaW8,"4166 24th st, San Francisco, CA, 94114",37.7514463,-122.4355543,1,94114,OK,premise
733,ROOFTOP,"1033 Irving St, San Francisco, CA 94122, USA",ChIJtwNQgV2HhYARCItm29GxDS0,"1033 irving st, San Francisco, CA, 94122",37.7637205,-122.4690813,1,94122,OK,premise
734,ROOFTOP,"6050 Geary Blvd #101a, San Francisco, CA 94121, USA",EjMxMDFhLCA2MDUwIEdlYXJ5IEJsdmQsIFNhbiBGcmFuY2lzY28sIENBIDk0MTIxLCBVU0EiIBoeChYKFAoSCZ_r3mMPh4WAEcK39ijzIgEjEgQxMDFh,"6050 geary blvd 101a, San Francisco, CA, 94121",37.7803843,-122.4845585,1,94121,OK,subpremise
735,ROOFTOP,"1817 Polk St, San Francisco, CA 94109, USA",ChIJg9ewTeqAhYARoNCOlxenRuk,"1817 polk st, San Francisco, CA, 94109",37.7936327,-122.4214609,1,94109,OK,street_address
736,ROOFTOP,"341 Kearny St, San Francisco, CA 94108, USA",ChIJGURm04uAhYARQa0zPlTryII,"341 kearny st, San Francisco, CA, 94108",37.7913747,-122.4043892,1,94108,OK,street_address
737,ROOFTOP,"2138 Irving St, San Francisco, CA 94122, USA",ChIJ9SL-G3CHhYARyAZp_bJes-s,"2138 irving st, San Francisco, CA, 94132",37.7635634,-122.4810652,1,94122,OK,premise
738,ROOFTOP,"1814 Clement St, San Francisco, CA 94121, USA",ChIJtT-tnRqHhYARTTVP6jlb0QU,"1814 clement st, San Francisco, CA, 94121",37.7825165,-122.478788,1,94121,OK,premise
739,ROOFTOP,"2739 Taylor St, San Francisco, CA 94133, USA",ChIJRfM-ouOAhYARhVjhaqzwLfI,"2739 taylor st, San Francisco, CA, 94133",37.8077829,-122.4159994,1,94133,OK,premise
740,ROOFTOP,"1735 Noriega St, San Francisco, CA 94122, USA",ChIJAQBwa32HhYAR0Ua6bTymgSI,"1735 noriega st, San Francisco, CA, 94122",37.7537878,-122.4824139,1,94122,OK,street_address
741,ROOFTOP,"494 Haight St, San Francisco, CA 94117, USA",ChIJ9VS0yaaAhYAREOl5gao8XuQ,"494 haight st, San Francisco, CA, 94117",37.7722305,-122.4302584,1,94117,OK,street_address
742,ROOFTOP,"260 Kearny St, San Francisco, CA 94104, USA",ChIJO6lAm4mAhYAR3pbhHKDt0k0,"260 kearny st  100, San Francisco, CA, 94108",37.790624,-122.403788,1,94104,OK,"bar,establishment,food,point_of_interest,restaurant"
743,ROOFTOP,"219 King St, San Francisco, CA 94107, USA",ChIJ7yPnGtd_j4ARWKJZUZ3-4B4,"219 king st, San Francisco, CA, 94107",37.7773451,-122.3923013,1,94107,OK,street_address
744,ROOFTOP,"4829 Mission St, San Francisco, CA 94112, USA",ChIJUX7CCIV-j4ARqmi_iU2v1dk,"4829 mission st, San Francisco, CA, 94112",37.7210201,-122.4373073,1,94112,OK,street_address
745,ROOFTOP,"1945 Hyde St, San Francisco, CA 94109, USA",ChIJ74Ie2-iAhYARkHg7Mm3ioAM,"1945 hyde st, San Francisco, CA, 94109",37.79883840000001,-122.4192514,1,94109,OK,premise
746,ROOFTOP,"1030 Taraval, San Francisco, CA 94116, USA",ChIJcbt0sZF9j4AR7g2N4Hg7ryI,"1030 taraval st, San Francisco, CA, 94116",37.7431302,-122.477392,1,94116,OK,street_address
747,ROOFTOP,"1650 Holloway Ave, San Francisco, CA 94132, USA",ChIJU922dbF9j4ARgEGbVgVxgNI,"1650 holloway ave west plz alcove b, San Francisco, CA, 94132",37.7223946,-122.4786143,1,94132,OK,street_address
748,ROOFTOP,"348 Columbus Ave, San Francisco, CA 94133, USA",ChIJGQO49POAhYAR6IfVYVE2bAs,"348 columbus ave, San Francisco, CA, 94133",37.7984951,-122.4073208,1,94133,OK,street_address
749,ROOFTOP,"50 Post St # 63, San Francisco, CA 94104, USA",ChIJceOeSoiAhYARQlcy_WPcwbg,"50 post st 63, San Francisco, CA, 94104",37.7891638,-122.4029793,1,94104,OK,"establishment,point_of_interest"
750,ROOFTOP,"2981 24th St, San Francisco, CA 94110, USA",ChIJ0U2mjUh-j4ARJjfgnArjN8o,"3104 24th st, San Francisco, CA, 9411",37.7525654,-122.4115403,1,94110,OK,"establishment,point_of_interest"
751,ROOFTOP,"1970 Innes Ave, San Francisco, CA 94124, USA",ChIJPyjMgal_j4ART5nFl4sCgDg,"1970 innes ave, San Francisco, CA, 94124",37.74356969999999,-122.395091,1,94124,OK,premise
752,ROOFTOP,"253 Church St, San Francisco, CA 94114, USA",ChIJldtNih5-j4ARbfbCPjatNFU,"253 church st, San Francisco, CA, 94114",37.7667755,-122.4285645,1,94114,OK,premise
753,ROOFTOP,"701 Haight St, San Francisco, CA 94117, USA",ChIJE7oSa6aAhYAR0G5SI83-K7Q,"701 haight st, San Francisco, CA, 94117",37.771455,-122.433855,1,94117,OK,street_address
754,ROOFTOP,"2555 Judah St, San Francisco, CA 94122, USA",ChIJndQjmXeHhYARN3IknZHbCVo,"2555 judah st, San Francisco, CA, 94122",37.7609486,-122.4895545,1,94122,OK,street_address
755,ROOFTOP,"4697 Mission St, San Francisco, CA 94112, USA",ChIJc_H284V-j4AR3ll55ViZHoU,"4697 mission st, San Francisco, CA, 94112",37.7232341,-122.4357664,1,94112,OK,street_address
