tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184
Census Tract 260.01,6075026001,,3495.0,84738.0,25230.0,369.0,28659.0,3091.0,30.0,809.0,804.0,967.0,286.0,18.0,160.0,227.0,148.0,351.0,266.0,92.0,140.0,359.0,602.0,521.0,138.0,119.0,2400.0,426.0,315.0,72567.0,86657.0,85296.0,137.0,71.2,10.1,7.3,3091.0,25.8,25.6,30.8,9.1,8.8,0.6,5.1,7.2,4.7,11.2,8.5,2.9,4.5,11.4,19.2,16.6,4.4,3.8,76.4,13.6,10.0,3.7,4.2,11.7,3.8,8.8,21.4,19.5,13.1,6.9,6.9,5863.0,36.7,2878.0,35.7,2985.0,37.9,1136.0,1579.0,1519.0,60.0,1519.0,766.0,753.0,49.1,50.9,74.8,96.2,3.8,100.0,50.4,49.6
Census Tract 259,6075025900,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#portola,2244.0,102642.0,28788.0,240.0,36504.0,1912.0,26.5,796.0,372.0,537.0,53.0,0.0,27.0,105.0,27.0,350.0,42.0,82.0,176.0,333.0,395.0,249.0,62.0,88.0,1507.0,287.0,142.0,84618.0,94762.0,101243.0,82.0,64.4,13.7,9.1,1912.0,41.1,19.2,27.7,2.7,9.2,0.0,1.4,5.4,1.4,18.1,2.2,4.2,9.1,17.2,20.4,12.9,3.2,4.5,77.8,14.8,7.3,6.4,5.0,6.7,6.8,9.3,9.3,18.0,17.2,14.5,6.8,4261.0,43.0,2049.0,41.6,2212.0,44.7,943.0,1410.0,1327.0,83.0,1327.0,995.0,332.0,48.1,51.9,71.1,94.1,5.9,100.0,75.0,25.0
Census Tract 258,6075025800,,1077.0,85298.0,22979.0,136.0,23373.0,950.0,31.4,216.0,293.0,246.0,93.0,0.0,60.0,53.0,57.0,109.0,41.0,52.0,41.0,74.0,260.0,101.0,92.0,44.0,728.0,214.0,42.0,46250.0,71685.0,74626.0,16.0,67.1,8.6,0.0,950.0,22.0,29.8,25.0,9.5,13.8,0.0,6.1,5.4,5.8,11.1,4.2,5.3,4.2,7.5,26.4,10.3,9.3,4.5,74.0,21.7,4.3,6.3,2.1,17.8,2.1,23.1,13.4,9.7,14.1,9.5,1.9,1960.0,40.7,959.0,38.8,1001.0,42.9,398.0,613.0,572.0,41.0,572.0,328.0,244.0,48.9,51.1,69.6,93.3,6.7,100.0,57.3,42.7
Census Tract 256,6075025600,,3068.0,82583.0,23027.0,266.0,29811.0,2735.0,30.8,653.0,638.0,581.0,378.0,0.0,297.0,292.0,24.0,254.0,232.0,77.0,143.0,144.0,485.0,390.0,305.0,118.0,1958.0,540.0,250.0,63800.0,78439.0,82247.0,42.0,65.5,9.7,2.0,2735.0,23.7,23.1,21.0,13.7,18.5,0.0,10.8,10.6,0.9,9.2,8.4,2.8,5.2,5.2,17.6,14.1,11.0,4.3,70.9,19.6,9.1,4.7,3.1,9.6,7.6,13.9,15.9,12.1,21.9,8.6,2.6,5618.0,41.4,2796.0,39.6,2822.0,43.2,1209.0,1629.0,1558.0,71.0,1558.0,1120.0,438.0,49.8,50.2,77.6,95.6,4.4,100.0,71.9,28.1
Census Tract 255,6075025500,"http://en.wikipedia.org/wiki/Glen_Park,_San_Francisco",4562.0,97250.0,32731.0,751.0,35154.0,4111.0,27.5,1496.0,979.0,1130.0,190.0,0.0,234.0,379.0,32.0,503.0,87.0,179.0,471.0,567.0,840.0,409.0,225.0,265.0,3202.0,683.0,306.0,76732.0,105661.0,113588.0,47.0,69.2,8.1,6.3,4111.0,35.7,23.4,27.0,4.5,9.4,0.0,5.6,9.0,0.8,12.0,2.1,4.3,11.2,13.5,20.0,9.8,5.4,6.3,76.4,16.3,7.3,5.3,2.2,7.5,9.9,12.9,8.6,11.1,16.4,15.0,11.2,8471.0,40.0,4291.0,38.6,4180.0,41.5,1769.0,2586.0,2469.0,117.0,2469.0,1526.0,943.0,50.7,49.3,71.6,95.5,4.5,100.0,61.8,38.2
Census Tract 254.01,6075025401,,2519.0,102957.0,34553.0,582.0,32358.0,2187.0,31.1,1029.0,614.0,354.0,200.0,16.0,159.0,64.0,60.0,86.0,36.0,233.0,236.0,315.0,513.0,405.0,92.0,51.0,1726.0,298.0,242.0,79295.0,98421.0,93784.0,75.0,77.1,10.0,8.2,2187.0,45.4,27.1,15.6,8.8,3.0,0.7,7.0,2.8,2.6,3.8,1.6,10.3,10.4,13.9,22.6,17.9,4.1,2.3,76.2,13.2,10.7,1.3,2.4,9.2,11.1,12.4,10.5,16.8,20.0,8.4,7.9,3404.0,38.1,1680.0,37.4,1724.0,39.0,669.0,1352.0,1276.0,76.0,1276.0,555.0,721.0,49.4,50.6,52.4,94.4,5.6,100.0,43.5,56.5
Census Tract 260.02,6075026002,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#University_Mound,1986.0,75355.0,21017.0,305.0,21125.0,1801.0,34.3,283.0,752.0,378.0,215.0,34.0,207.0,19.0,34.0,154.0,111.0,0.0,95.0,377.0,266.0,321.0,189.0,64.0,1470.0,230.0,162.0,56875.0,74723.0,74901.0,103.0,48.7,5.8,8.8,1801.0,15.1,40.2,20.2,11.5,13.0,1.8,11.1,1.0,1.8,8.2,5.9,0.0,5.1,20.1,14.2,17.2,10.1,3.4,78.6,12.3,8.7,0.0,4.7,11.0,10.7,15.2,19.5,5.5,25.7,3.7,3.9,3544.0,45.3,1682.0,41.0,1862.0,49.0,673.0,984.0,955.0,29.0,955.0,719.0,236.0,47.5,52.5,70.5,97.1,2.9,100.0,75.3,24.7
Census Tract 254.03,6075025403,,2717.0,111516.0,32299.0,558.0,31838.0,2398.0,28.4,846.0,603.0,570.0,87.0,0.0,91.0,199.0,63.0,218.0,115.0,153.0,108.0,362.0,547.0,330.0,187.0,97.0,1905.0,357.0,208.0,66500.0,94930.0,84410.0,80.0,71.3,9.1,9.9,2398.0,34.3,24.4,23.1,3.5,14.7,0.0,3.7,8.1,2.6,8.8,4.7,6.2,4.4,14.7,22.1,13.4,7.6,3.9,77.1,14.5,8.4,5.1,8.3,5.6,6.6,10.2,21.3,10.9,15.4,6.5,9.9,4267.0,37.5,2016.0,37.3,2251.0,37.8,928.0,1531.0,1436.0,95.0,1436.0,758.0,678.0,47.2,52.8,64.6,93.8,6.2,100.0,52.8,47.2
Census Tract 253,6075025300,,3407.0,122970.0,43601.0,976.0,44780.0,3017.0,26.7,1444.0,638.0,579.0,189.0,18.0,181.0,110.0,95.0,167.0,161.0,183.0,19.0,783.0,426.0,408.0,324.0,233.0,2209.0,525.0,364.0,88711.0,111119.0,118585.0,28.0,80.4,8.8,0.8,3017.0,46.5,20.5,18.6,6.1,8.3,0.6,5.8,3.5,3.1,5.4,5.2,5.9,0.6,25.2,13.7,13.1,10.4,7.5,71.1,16.9,11.7,2.7,5.7,4.5,7.6,4.9,16.2,14.5,19.3,10.0,14.6,4362.0,37.3,2296.0,37.1,2066.0,37.4,783.0,1881.0,1767.0,114.0,1767.0,752.0,1015.0,52.6,47.4,44.3,93.9,6.1,100.0,42.6,57.4
Census Tract 252,6075025200,,3511.0,132248.0,52509.0,1011.0,46433.0,3304.0,27.4,1860.0,759.0,510.0,185.0,0.0,51.0,160.0,60.0,230.0,126.0,177.0,123.0,748.0,682.0,688.0,226.0,126.0,2590.0,556.0,251.0,98815.0,129965.0,134279.0,45.0,74.8,3.2,3.3,3304.0,54.8,22.3,15.0,5.4,2.4,0.0,1.5,4.7,1.8,6.8,3.7,5.2,3.6,22.0,20.1,20.3,6.7,3.7,76.2,16.4,7.4,1.6,2.2,4.1,7.1,9.8,13.5,13.0,20.6,9.5,18.6,5369.0,40.0,2673.0,40.0,2696.0,39.9,1078.0,2257.0,2125.0,132.0,2125.0,1258.0,867.0,49.8,50.2,50.7,94.2,5.8,100.0,59.2,40.8
Census Tract 251,6075025100,,2002.0,110150.0,47488.0,671.0,50184.0,1803.0,28.9,1177.0,166.0,395.0,58.0,0.0,58.0,139.0,59.0,146.0,49.0,127.0,12.0,389.0,492.0,209.0,158.0,39.0,1314.0,262.0,301.0,77893.0,110559.0,107212.0,22.0,74.0,6.2,2.5,1803.0,62.7,8.8,21.0,3.1,4.3,0.0,3.1,7.4,3.1,7.8,2.6,6.8,0.6,20.7,26.2,11.1,8.4,2.1,70.0,14.0,16.0,2.5,2.4,3.8,3.1,8.6,20.3,22.9,13.6,12.4,10.3,3077.0,40.3,1588.0,39.8,1489.0,40.8,640.0,1357.0,1269.0,88.0,1269.0,864.0,405.0,51.6,48.4,50.4,93.5,6.5,100.0,68.1,31.9
Census Tract 234,6075023400,,1487.0,56079.0,17238.0,255.0,19772.0,1260.0,31.5,158.0,441.0,269.0,182.0,0.0,46.0,204.0,33.0,95.0,113.0,0.0,30.0,108.0,144.0,276.0,238.0,47.0,1100.0,130.0,104.0,36544.0,57646.0,65198.0,210.0,58.2,10.3,37.5,1260.0,11.8,33.1,20.2,13.6,21.3,0.0,3.4,15.3,2.5,7.1,8.5,0.0,2.2,8.1,10.8,20.7,17.8,3.5,82.5,9.7,7.8,8.3,10.6,7.4,22.7,9.6,21.3,3.0,6.3,9.5,1.4,3660.0,30.3,1719.0,29.3,1941.0,31.4,735.0,1044.0,964.0,80.0,964.0,386.0,578.0,47.0,53.0,76.2,92.3,7.7,100.0,40.0,60.0
Census Tract 233,6075023300,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Silver_Terrace,1534.0,88811.0,22886.0,46.0,26387.0,1327.0,35.7,302.0,295.0,364.0,209.0,0.0,186.0,155.0,8.0,152.0,56.0,63.0,26.0,85.0,230.0,191.0,99.0,142.0,999.0,279.0,115.0,66250.0,92194.0,89843.0,90.0,68.2,9.2,8.1,1327.0,21.7,21.2,26.1,15.0,16.0,0.0,13.4,11.1,0.6,10.9,4.0,4.5,1.9,6.1,16.5,13.7,7.1,10.2,71.7,20.0,8.3,2.9,1.0,1.6,5.4,25.9,19.5,7.8,26.8,2.9,6.2,2624.0,37.8,1310.0,36.5,1314.0,39.1,543.0,1000.0,620.0,380.0,620.0,394.0,226.0,49.9,50.1,87.6,62.0,38.0,100.0,63.5,36.5
Census Tract 232,6075023200,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Silver_Terrace,2106.0,63917.0,18029.0,374.0,26928.0,1689.0,30.6,405.0,369.0,495.0,331.0,39.0,263.0,210.0,0.0,103.0,51.0,117.0,88.0,219.0,392.0,175.0,77.0,88.0,1417.0,337.0,68.0,50156.0,58667.0,62709.0,85.0,60.0,13.5,14.1,1689.0,22.2,20.3,27.2,18.2,12.2,2.1,14.4,11.5,0.0,5.7,2.8,6.4,4.8,12.0,21.5,9.6,4.2,4.8,77.8,18.5,3.7,3.7,8.0,10.3,14.8,12.9,19.1,17.1,9.6,3.5,0.8,4582.0,33.4,2295.0,31.8,2287.0,34.9,907.0,1326.0,1228.0,98.0,1228.0,666.0,562.0,50.1,49.9,73.9,92.6,7.4,100.0,54.2,45.8
Census Tract 254.02,6075025402,,1947.0,106555.0,40422.0,433.0,40705.0,1785.0,26.1,923.0,199.0,455.0,72.0,0.0,97.0,117.0,69.0,210.0,121.0,65.0,88.0,205.0,470.0,144.0,93.0,123.0,1283.0,321.0,198.0,99732.0,105843.0,114307.0,20.0,76.3,7.4,3.8,1785.0,51.2,11.0,25.2,4.0,8.5,0.0,5.4,6.5,3.8,11.7,6.7,3.6,4.9,11.4,26.1,8.0,5.2,6.8,71.2,17.8,11.0,4.1,0.8,5.2,5.0,10.7,12.8,11.5,19.8,22.7,7.3,2912.0,40.4,1398.0,39.8,1514.0,41.1,641.0,1107.0,1060.0,47.0,1060.0,746.0,314.0,48.0,52.0,60.5,95.8,4.2,100.0,70.4,29.6
Census Tract 231.02,6075023102,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Bayview,1651.0,69076.0,20540.0,445.0,25643.0,1279.0,32.2,426.0,476.0,285.0,38.0,0.0,95.0,90.0,79.0,143.0,38.0,18.0,83.0,172.0,466.0,94.0,75.0,27.0,1073.0,271.0,36.0,26987.0,52434.0,52853.0,197.0,63.3,16.4,15.5,1279.0,30.9,34.5,20.7,2.8,11.2,0.0,6.9,6.5,5.7,10.4,2.8,1.3,6.0,12.5,33.8,6.8,5.4,2.0,77.8,19.6,2.6,12.7,12.0,20.0,18.7,7.8,6.1,6.6,7.9,4.0,4.1,3478.0,31.5,1549.0,29.5,1929.0,33.0,822.0,1272.0,1222.0,50.0,1222.0,417.0,805.0,44.5,55.5,67.3,96.1,3.9,100.0,34.1,65.9
Census Tract 229.03,6075022903,,2001.0,92299.0,32415.0,482.0,32324.0,1815.0,24.9,831.0,464.0,338.0,97.0,0.0,97.0,135.0,53.0,61.0,76.0,68.0,242.0,392.0,366.0,299.0,51.0,20.0,1582.0,239.0,39.0,67368.0,88415.0,91339.0,63.0,71.5,7.0,5.3,1815.0,44.7,24.9,18.2,5.2,7.0,0.0,5.2,7.3,2.8,3.3,4.1,3.7,13.0,21.1,19.7,16.1,2.7,1.1,85.1,12.8,2.1,0.8,5.9,4.6,8.7,20.2,15.6,12.0,16.3,9.9,5.8,3384.0,34.7,1767.0,33.9,1617.0,35.4,559.0,1167.0,1118.0,49.0,1118.0,405.0,713.0,52.2,47.8,50.0,95.8,4.2,100.0,36.2,63.8
Census Tract 229.02,6075022902,,1692.0,65260.0,23311.0,336.0,29658.0,1518.0,30.6,469.0,446.0,334.0,145.0,41.0,61.0,158.0,6.0,91.0,123.0,23.0,115.0,166.0,314.0,272.0,138.0,21.0,1240.0,217.0,72.0,70714.0,69700.0,70288.0,69.0,76.0,9.6,16.4,1518.0,30.7,29.2,21.8,9.5,8.8,2.7,4.0,10.3,0.4,6.0,8.0,1.5,7.5,10.9,20.5,17.8,9.0,1.4,81.1,14.2,4.7,1.2,5.5,10.4,13.7,10.7,21.3,19.1,11.3,4.9,1.8,2617.0,34.5,1389.0,34.1,1228.0,35.0,424.0,839.0,802.0,37.0,802.0,288.0,514.0,53.1,46.9,52.9,95.6,4.4,100.0,35.9,64.1
Census Tract 230.01,6075023001,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Silver_Terrace,2592.0,57026.0,16245.0,275.0,19365.0,2240.0,30.2,374.0,906.0,419.0,251.0,0.0,151.0,239.0,23.0,309.0,40.0,28.0,112.0,141.0,281.0,550.0,286.0,117.0,1689.0,462.0,126.0,48513.0,58349.0,53559.0,122.0,60.1,12.2,18.4,2240.0,16.4,39.8,18.4,11.0,14.4,0.0,6.6,10.5,1.0,13.6,1.8,1.2,4.9,6.2,12.3,24.2,12.6,5.1,74.2,20.3,5.5,5.3,5.2,7.6,7.6,29.4,22.7,7.8,11.3,1.6,1.4,5216.0,41.4,2562.0,39.8,2654.0,43.1,1043.0,1380.0,1312.0,68.0,1312.0,939.0,373.0,49.1,50.9,79.5,95.1,4.9,100.0,71.6,28.4
Census Tract 228.02,6075022802,http://www.sfgate.com/neighborhoods/sf/mission/,1199.0,86841.0,33736.0,254.0,34844.0,1127.0,24.5,480.0,198.0,295.0,72.0,15.0,55.0,61.0,75.0,85.0,53.0,91.0,76.0,168.0,220.0,167.0,53.0,39.0,905.0,212.0,41.0,88654.0,102909.0,102584.0,15.0,60.5,3.4,3.5,1127.0,41.5,17.1,25.5,6.2,9.8,1.3,4.7,5.3,6.5,7.3,4.6,7.9,6.6,14.5,19.0,14.4,4.6,3.4,78.2,18.3,3.5,1.1,0.0,7.9,1.9,25.7,12.4,15.4,8.0,16.2,11.3,2099.0,39.2,1129.0,39.9,970.0,38.4,297.0,630.0,593.0,37.0,593.0,178.0,415.0,53.8,46.2,50.1,94.1,5.9,100.0,30.0,70.0
Census Tract 228.03,6075022803,http://www.sfgate.com/neighborhoods/sf/mission/,3309.0,69283.0,29080.0,752.0,27560.0,3084.0,28.2,891.0,1116.0,639.0,227.0,0.0,179.0,182.0,8.0,384.0,83.0,154.0,122.0,419.0,493.0,855.0,231.0,10.0,2510.0,271.0,330.0,68911.0,81127.0,81204.0,23.0,81.3,5.7,2.2,3084.0,28.6,35.8,20.5,7.3,7.9,0.0,5.7,5.8,0.3,12.3,2.7,4.9,3.9,13.4,15.8,27.4,7.4,0.3,80.4,8.7,10.6,1.9,0.0,8.0,12.6,13.2,21.5,14.3,13.3,11.4,3.8,4595.0,33.4,2416.0,33.4,2179.0,33.4,765.0,1606.0,1531.0,75.0,1531.0,463.0,1068.0,52.6,47.4,50.0,95.3,4.7,100.0,30.2,69.8
Census Tract 229.01,6075022901,http://www.sfgate.com/neighborhoods/sf/mission/,2768.0,60648.0,29470.0,742.0,31537.0,2380.0,27.4,912.0,590.0,521.0,163.0,12.0,151.0,185.0,75.0,246.0,19.0,224.0,165.0,255.0,378.0,557.0,141.0,29.0,1899.0,252.0,286.0,50493.0,75614.0,80572.0,59.0,77.1,12.0,14.4,2380.0,37.4,24.2,21.4,6.7,10.3,0.5,6.2,7.6,3.1,10.1,0.8,9.2,6.8,10.5,15.5,22.9,5.8,1.2,77.9,10.3,11.7,5.9,3.1,14.8,10.7,15.0,21.9,7.0,6.9,8.5,6.3,4640.0,31.6,2464.0,31.1,2176.0,32.4,786.0,1500.0,1410.0,90.0,1410.0,276.0,1134.0,53.1,46.9,55.7,94.0,6.0,100.0,19.6,80.4
Census Tract 228.01,6075022801,http://www.sfgate.com/neighborhoods/sf/mission/,3312.0,118238.0,46303.0,1092.0,43098.0,3154.0,23.9,1296.0,460.0,546.0,682.0,26.0,625.0,196.0,84.0,238.0,60.0,150.0,164.0,699.0,295.0,482.0,117.0,65.0,2678.0,189.0,334.0,77212.0,118754.0,122850.0,50.0,81.0,3.4,11.4,3154.0,40.5,14.4,17.1,21.3,6.8,0.8,19.5,6.1,2.6,7.4,1.9,4.7,5.1,21.8,9.2,15.1,3.7,2.0,83.7,5.9,10.4,6.6,1.8,8.1,5.0,12.9,10.7,18.5,7.4,11.4,17.7,5078.0,34.5,2770.0,34.9,2308.0,34.0,836.0,1971.0,1850.0,121.0,1850.0,694.0,1156.0,54.5,45.5,45.2,93.9,6.1,100.0,37.5,62.5
Census Tract 227.02,6075022702,http://www.sfgate.com/neighborhoods/sf/potrerohill/,1592.0,171524.0,80150.0,652.0,71633.0,1451.0,27.1,1203.0,73.0,214.0,0.0,0.0,13.0,103.0,39.0,101.0,37.0,77.0,111.0,557.0,253.0,140.0,28.0,31.0,1077.0,278.0,135.0,124038.0,169812.0,168158.0,0.0,83.9,6.4,2.4,1451.0,80.7,4.9,14.4,0.0,0.0,0.0,0.9,6.9,2.6,6.8,2.5,5.2,7.4,37.4,17.0,9.4,1.9,2.1,72.3,18.7,9.1,2.7,0.0,0.9,5.8,7.4,7.0,20.4,13.2,18.7,23.9,2060.0,38.2,1079.0,38.3,981.0,38.0,379.0,1052.0,981.0,71.0,981.0,386.0,595.0,52.4,47.6,38.6,93.3,6.7,100.0,39.3,60.7
Census Tract 226,6075022600,,1071.0,226642.0,96507.0,515.0,92035.0,972.0,24.9,765.0,31.0,169.0,43.0,0.0,49.0,90.0,27.0,84.0,84.0,30.0,161.0,309.0,117.0,11.0,36.0,20.0,862.0,90.0,66.0,125952.0,166807.0,164923.0,14.0,88.4,4.9,0.0,972.0,75.1,3.0,16.6,4.2,1.0,0.0,4.8,8.8,2.7,8.3,8.3,2.9,15.8,30.4,11.5,1.1,3.5,2.0,84.7,8.8,6.5,0.0,0.0,1.5,1.9,1.2,11.1,16.1,27.6,14.5,26.0,1534.0,37.3,873.0,37.9,661.0,36.0,268.0,944.0,815.0,129.0,815.0,434.0,381.0,56.9,43.1,32.9,86.3,13.7,100.0,53.3,46.7
Census Tract 218,6075021800,"http://en.wikipedia.org/wiki/Glen_Park,_San_Francisco",2873.0,175463.0,60057.0,1020.0,53240.0,2572.0,30.3,1657.0,174.0,597.0,121.0,0.0,118.0,202.0,63.0,251.0,8.0,108.0,246.0,579.0,677.0,186.0,140.0,106.0,1871.0,505.0,308.0,101315.0,132690.0,122668.0,31.0,75.0,6.6,3.0,2572.0,61.7,6.5,22.2,4.5,5.0,0.0,4.4,7.5,2.3,9.4,0.3,4.0,9.2,21.6,25.2,6.9,5.2,3.9,69.7,18.8,11.5,4.5,2.4,3.3,5.7,6.9,18.7,6.9,18.3,13.3,20.1,3840.0,40.9,1931.0,41.1,1909.0,40.7,846.0,1884.0,1768.0,116.0,1768.0,1062.0,706.0,50.3,49.7,47.9,93.8,6.2,100.0,60.1,39.9
Census Tract 217,6075021700,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Laguna_Honda,2371.0,166402.0,61898.0,1010.0,57632.0,2076.0,29.8,1479.0,189.0,319.0,70.0,0.0,106.0,105.0,16.0,170.0,65.0,136.0,234.0,438.0,780.0,57.0,46.0,62.0,1463.0,452.0,300.0,88679.0,123253.0,127333.0,18.0,69.2,6.6,11.2,2076.0,66.8,8.5,14.4,3.2,7.1,0.0,4.8,4.7,0.7,7.7,2.9,6.1,10.6,19.8,35.2,2.6,2.1,2.8,66.0,20.4,13.5,1.7,5.5,8.5,8.4,6.3,14.6,13.7,17.9,7.3,16.1,3948.0,46.0,1946.0,46.1,2002.0,45.9,956.0,1876.0,1798.0,78.0,1798.0,1233.0,565.0,49.3,50.7,53.2,95.8,4.2,100.0,68.6,31.4
Census Tract 216,6075021600,"http://en.wikipedia.org/wiki/Glen_Park,_San_Francisco",2660.0,161317.0,67772.0,1283.0,63739.0,2450.0,32.8,1508.0,240.0,722.0,15.0,0.0,4.0,126.0,120.0,196.0,17.0,100.0,398.0,525.0,841.0,130.0,24.0,32.0,1645.0,553.0,311.0,90625.0,121315.0,130734.0,9.0,73.3,5.5,0.0,2450.0,60.0,9.6,28.7,0.6,1.1,0.0,0.2,5.0,4.8,7.8,0.7,4.0,15.8,20.9,33.5,5.2,1.0,1.3,65.5,22.0,12.4,4.0,7.6,3.6,9.8,6.2,11.9,13.5,15.5,6.2,21.5,3836.0,43.8,2143.0,44.6,1693.0,42.0,758.0,2165.0,2026.0,139.0,2026.0,1219.0,807.0,55.9,44.1,37.4,93.6,6.4,100.0,60.2,39.8
Census Tract 215,6075021500,,3958.0,137340.0,61032.0,1429.0,55362.0,3656.0,29.1,2400.0,336.0,680.0,250.0,0.0,209.0,164.0,134.0,183.0,112.0,135.0,325.0,1018.0,682.0,378.0,199.0,182.0,2794.0,379.0,548.0,111712.0,127166.0,127495.0,0.0,86.2,5.4,0.0,3656.0,64.5,9.0,18.3,6.7,1.5,0.0,5.6,4.4,3.6,4.9,3.0,3.6,8.7,27.4,18.3,10.2,5.3,4.9,75.1,10.2,14.7,1.0,3.7,0.5,5.2,8.9,13.8,9.3,24.8,15.2,17.6,5096.0,37.4,2460.0,38.2,2636.0,36.5,1025.0,2627.0,2449.0,178.0,2449.0,1027.0,1422.0,48.3,51.7,41.9,93.2,6.8,100.0,41.9,58.1
Census Tract 214,6075021400,http://www.sfgate.com/neighborhoods/sf/noevalley/,2569.0,165833.0,66220.0,1147.0,55239.0,2359.0,32.1,1823.0,173.0,379.0,41.0,0.0,33.0,114.0,13.0,122.0,11.0,171.0,206.0,774.0,508.0,307.0,72.0,96.0,1785.0,362.0,280.0,101222.0,127390.0,128121.0,13.0,84.2,5.5,2.9,2359.0,75.1,7.1,15.6,1.7,0.5,0.0,1.4,4.7,0.5,5.0,0.5,7.0,8.5,31.9,20.9,12.6,3.0,4.0,73.5,14.9,11.5,2.3,2.9,3.0,5.4,9.2,14.1,11.7,15.9,17.1,18.2,3264.0,38.0,1617.0,39.2,1647.0,37.0,655.0,1770.0,1619.0,151.0,1619.0,676.0,943.0,49.5,50.5,40.5,91.5,8.5,100.0,41.8,58.2
Census Tract 213,6075021300,"http://en.wikipedia.org/wiki/Diamond_Heights,_San_Francisco",1751.0,243192.0,88189.0,718.0,67604.0,1616.0,33.6,1118.0,185.0,244.0,39.0,0.0,27.0,182.0,15.0,86.0,33.0,90.0,171.0,492.0,260.0,139.0,23.0,139.0,1313.0,216.0,128.0,105599.0,174876.0,189316.0,0.0,79.7,5.4,2.2,1616.0,67.5,11.2,14.7,2.4,4.3,0.0,1.6,11.0,0.9,5.2,2.0,5.4,10.3,29.7,15.7,8.4,1.4,8.4,79.2,13.0,7.7,2.4,3.3,5.3,6.7,6.0,9.1,13.7,17.4,12.0,24.0,2474.0,39.9,1275.0,41.2,1199.0,37.7,531.0,1258.0,1171.0,87.0,1171.0,637.0,534.0,51.5,48.5,45.3,93.1,6.9,100.0,54.4,45.6
Census Tract 212,6075021200,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Upper_Market,1829.0,252044.0,89994.0,808.0,77021.0,1675.0,32.3,1227.0,104.0,346.0,0.0,10.0,71.0,134.0,24.0,82.0,93.0,149.0,138.0,305.0,363.0,67.0,118.0,145.0,1144.0,324.0,222.0,124444.0,179711.0,170737.0,0.0,74.7,7.1,1.7,1675.0,72.2,6.1,20.4,0.0,1.3,0.6,4.2,7.9,1.4,4.8,5.5,8.8,8.1,18.0,21.4,3.9,6.9,8.5,67.3,19.1,13.1,1.8,3.0,6.1,6.6,5.1,11.8,6.3,13.6,9.5,36.2,2779.0,41.3,1492.0,42.5,1287.0,39.7,533.0,1505.0,1396.0,109.0,1396.0,744.0,652.0,53.7,46.3,38.2,92.8,7.2,100.0,53.3,46.7
Census Tract 211,6075021100,"http://en.wikipedia.org/wiki/Eureka_Valley,_San_Francisco,_California",3131.0,235357.0,85235.0,1363.0,71799.0,2939.0,32.2,2266.0,384.0,289.0,25.0,0.0,0.0,169.0,53.0,147.0,57.0,111.0,233.0,900.0,602.0,472.0,164.0,90.0,2327.0,269.0,377.0,114142.0,168140.0,153305.0,0.0,80.8,4.2,1.7,2939.0,75.6,12.8,9.6,0.8,1.1,0.0,0.0,5.6,1.8,4.9,1.9,3.7,7.8,30.0,20.1,15.7,5.5,3.0,77.6,9.0,12.6,1.7,3.6,5.4,6.7,5.0,9.1,9.7,14.9,14.1,29.7,3853.0,38.3,1968.0,39.4,1885.0,37.3,768.0,2039.0,1863.0,176.0,1863.0,809.0,1054.0,51.1,48.9,41.2,91.4,8.6,100.0,43.4,56.6
