business_name,lic_code,business_start_date,business_end_date,Lifespan,closed,age_if_opened,full_address,business_id,name,MA,year,lati,longi
fillmore street cafe the,Multiple,07/01/2003,,,no,5510.0,"1301 fillmore st, San Francisco, CA, 94115",9232,fillmore street cafe,85.0,2018.0,37.781974,-122.432474
little city market,Retail Food Market W/food Prep. Lt 5001 Sqft,11/06/2013,,,no,1729.0,"1400 stockton st, San Francisco, CA, 94133",81350,little city market,97.0,2018.0,37.7986983,-122.4087054
peets coffee and tea inc,Take-Out Establishment,01/01/1989,,,no,10804.0,"2257 market st, San Francisco, CA, 94114",5000,peets coffee  tea,96.0,2018.0,37.764947,-122.43201200000001
emporio rulli caffe/union sqr,Multiple,07/21/2003,,,no,5490.0,"225 stockton st, San Francisco, CA, 94108",1710,emporio rulli il caffe at union square,90.5,2018.0,37.787936,-122.40671200000001
house of bagels,Take-Out Establishment,07/01/2003,,,no,5510.0,"5030 geary blvd, San Francisco, CA, 94118",4654,house of bagels,85.0,2018.0,37.780688,-122.47347099999999
mccall associates,Catering Facility,04/01/1987,,,no,11445.0,"2720 17th st, San Francisco, CA, 9411",5271,mccall associates,97.0,2018.0,37.764359000000006,-122.41059399999999
mango medley,"Restaurant Less Than 1,000 Sqft",08/05/2003,,,no,5475.0,"3911 judah st, San Francisco, CA, 94122",14303,mango medley,91.0,2018.0,37.760453999999996,-122.50393899999999
union st coffee roastery inc,"Restaurant Less Than 1,000 Sqft",02/01/2014,,,no,1642.0,"2191 union st, San Francisco, CA, 94123",77799,union street coffee roastery inc,96.0,2017.0,37.7970043,-122.435322
chestnut diner,"Restaurant Less Than 1,000 Sqft",12/11/2004,,,no,4981.0,"1312 chestnut st, San Francisco, CA, 94123",2047,chestnut diner,94.0,2018.0,37.802246999999994,-122.42509299999999
marnee thai restaurant,"Restaurant Less Than 1,000 Sqft",08/07/2003,,,no,5473.0,"2225 irving st, San Francisco, CA, 94122",538,marnee thai restaurant,87.0,2017.0,37.763343,-122.48180900000001
grandehos kamekyo,"Restaurant 1,000 - 2,000 Sqft",07/01/1997,,,no,7701.0,"2721 hyde st, San Francisco, CA, 94119",2807,grandehos kamekyo ii,83.5,2017.0,37.806153,-122.420474
the house,"Restaurant Less Than 1,000 Sqft",06/01/2003,,,no,5540.0,"1230 grant ave, San Francisco, CA, 94133",488,the house,90.5,2018.0,37.798519,-122.407071
franklin market,,07/01/2013,12/01/2014,518.0,yes,,"2836 franklin st, San Francisco, CA, 94123",86885,franklin market,92.5,2018.0,37.8007158,-122.42591000000002
belly good cafe  crepes,Take-Out Establishment,09/01/2003,,,no,5448.0,"1737 post st 393, San Francisco, CA, 94115",9248,belly good cafe  crepes,100.0,2018.0,37.785457,-122.43031699999999
double play,"Restaurant Greater Than 2,000 Sqft",01/11/2006,,,no,4585.0,"2401 16th st, San Francisco, CA, 94103",32654,double play bar  grill,78.0,2018.0,37.765553000000004,-122.410779
events mgmtlegion of honor,"Restaurant Greater Than 2,000 Sqft",04/01/1987,,,no,11445.0,"100 34th ave, San+francisco, CA, 94121",57755,events management  legion of honor,85.0,2018.0,37.785711,-122.500155
youngs restaurant,"Restaurant 1,000 - 2,000 Sqft",10/10/2003,,,no,5409.0,"601 kearny st, San Francisco, CA, 94108",1594,youngs restaurant,74.5,2017.0,37.793702,-122.404653
fountain cafe,"Restaurant Greater Than 2,000 Sqft",09/29/2003,,,no,5420.0,"50 post st 62b, San Francisco, CA, 94109",2870,fountain cafe,74.0,2018.0,37.789064,-122.40286100000002
boos voni,,10/01/2003,10/31/2017,5144.0,yes,,"5170 mission st, San Francisco, CA, 94112",93607,boos voni,84.0,2018.0,37.7160255,-122.44155249999999
louies dim sum,Take-Out Establishment,10/01/2003,,,no,5418.0,"1242 stockton st, San Francisco, CA, 94133",4621,louies dim sum,72.5,2017.0,37.797256,-122.408456
belly burgers,"Restaurant 1,000 - 2,000 Sqft",03/05/2014,,,no,1610.0,"5740 geary blvd, San Francisco, CA, 94121",78075,belly burger,81.0,2018.0,37.7804765,-122.48124209999999
beanery,,01/01/1997,,,no,7882.0,"602 irving st, San Francisco, CA, 94122",251,beanery inc,97.0,2018.0,37.764148,-122.46439099999999
