Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv
B151457,,6/4/15,"$25,000.00 ",FALSE,FALSE,1,300 Block of Russia Avenue,94112,11,Excelsior,"(37.720206790088, -122.434420669981)",90,9,1,7,5,7,6,9,"28,861"
B151478,3/27/15,6/12/15,"$32,500.00 ",FALSE,FALSE,2,800 Block of Fillmore Street,94117,5,Hayes Valley,"(37.777221092584, -122.431547858725)",23,4,11,9,10,9,11,15,"29,492"
B151479,6/12/15,1/29/16,"$53,703.46 ",FALSE,FALSE,2,100 Block of Downey Street,94117,5,Haight Ashbury,"(37.765418257892, -122.446783639096)",114,7,11,3,9,5,11,15,"29,492"
B151504,6/16/15,8/5/15,"$7,000.00 ",FALSE,FALSE,1,0 Block of Pinehurst Way,94127,7,West of Twin Peaks,"(37.727568575758, -122.465395678755)",68,10,8,41,40,8,4,9,59
B151516,,6/17/15,"$80,000.00 ",FALSE,TRUE,1,2900 Block of Cesar Chavez Street,94110,9,Bernal Heights,"(37.748237393611, -122.409174716146)",60,3,2,2,2,4,7,2,"28,859"
B151517,,6/17/15,"$45,000.00 ",FALSE,FALSE,3,300 Block of Russia Avenue,94112,11,Excelsior,"(37.720206790088, -122.434420669981)",90,9,1,7,5,7,6,9,"28,861"
B151540,6/18/15,1/19/16,"$20,000.00 ",FALSE,FALSE,2,900 Block of Judah Street,94122,7,Inner Sunset,"(37.761819307436, -122.472091115248)",109,10,8,14,12,8,4,1,56
B151544,6/23/15,9/1/15,"$40,000.00 ",FALSE,TRUE,1,1700 Block of Sanchez Street,94131,8,Glen Park,"(37.741041533219, -122.428754803843)",59,9,5,10,7,7,5,2,63
B151545,6/23/15,9/23/15,"$15,000.00 ",FALSE,FALSE,1,500 Block of Page Street,94117,5,Hayes Valley,"(37.773089317406, -122.429798621341)",26,4,11,9,10,9,11,7,"29,492"
B151550,,6/24/15,"$38,000.00 ",FALSE,TRUE,2,700 Block of Green Street,94133,3,Chinatown,"(37.799171623989, -122.412123100282)",107,6,3,6,4,1,10,3,308
B151559,6/25/15,8/14/15,"$23,000.00 ",FALSE,TRUE,3,200 Block of Gough Street,94102,5,Hayes Valley,"(37.775244832231, -122.422713877313)",22,4,11,9,10,9,11,7,"28,852"
B151560,6/25/15,10/9/15,"$30,000.00 ",FALSE,FALSE,2,1500 Block of Oak Street,94117,5,Haight Ashbury,"(37.772133607526, -122.444859556269)",25,7,11,3,9,5,11,15,"29,492"
B151561,6/26/15,4/12/16,"$70,000.00 ",FALSE,FALSE,3,0 Block of Cook Street,94118,2,Presidio Heights,"(37.782761528073, -122.452255448148)",11,8,6,31,31,6,1,15,54
B151565,6/29/15,8/19/15,"$17,450.00 ",FALSE,FALSE,2,1300 Block of Francisco Street,94123,2,Marina,"(37.802948609701, -122.427398615745)",17,4,6,13,17,9,1,13,57
B151566,6/30/15,8/20/15,"$20,000.00 ",FALSE,FALSE,4,500 Block of Athens Street,94112,11,Excelsior,"(37.719281992308, -122.430129309919)",90,9,1,7,5,7,6,9,"28,861"
B151583,6/30/15,10/22/15,"$34,500.00 ",FALSE,FALSE,3,1200 Block of York Street,94110,9,Mission,"(37.752058749687, -122.408043927448)",53,3,2,20,19,4,7,2,"28,859"
B151599,7/1/15,9/4/15,"$20,000.00 ",FALSE,FALSE,2,1700 Block of Green Street,94123,2,Marina,"(37.797041708816, -122.427891886108)",102,4,6,13,17,9,1,13,57
B151602,,7/2/15,"$70,000.00 ",FALSE,TRUE,4,200 Block of 4th Avenue,94118,1,Inner Richmond,"(37.783975803644, -122.462278443445)",5,8,4,11,11,6,2,11,54
B151693,7/6/15,2/18/16,"$45,000.00 ",FALSE,FALSE,1,4400 Block of 23rd Street,94114,8,Noe Valley,"(37.752384393687, -122.441643241297)",51,3,5,22,22,4,5,2,"28,862"
B151695,7/8/15,11/19/15,"$25,000.00 ",FALSE,TRUE,1,0 Block of Walter Street,94114,8,Castro/Upper Market,"(37.768393218858, -122.432312796958)",28,7,5,5,3,5,5,15,"28,862"
B151708,7/9/15,9/1/15,"$20,354.00 ",FALSE,FALSE,2,2000 Block of Larkin Street,94109,3,Russian Hill,"(37.796592926482, -122.420281529716)",105,6,3,32,32,9,10,13,"28,858"
B151750,7/10/15,8/14/15,"$13,000.00 ",FALSE,FALSE,2,100 Block of Trumbull Street,94112,11,Excelsior,"(37.730791150085, -122.427261742832)",94,9,1,7,5,7,6,9,"28,861"
B151752,7/10/15,9/28/15,"$20,354.00 ",FALSE,TRUE,5,1300 Block of 24th Avenue,94122,4,Sunset/Parkside,"(37.762398165063, -122.482348233619)",39,10,7,35,35,8,3,1,56
B151755,,7/15/15,"$12,500.00 ",FALSE,FALSE,2,1500 Block of Sacramento Street,94109,3,Nob Hill,"(37.791759275389, -122.418390500449)",16,6,3,21,21,1,10,5,"28,858"
B151759,7/13/15,9/10/15,"$33,000.00 ",FALSE,FALSE,5,3700 Block of San Bruno Avenue,94134,10,Visitacion Valley,"(37.714891382798, -122.399790666158)",75,9,9,40,39,7,8,10,309
B151760,,7/13/15,"$36,205.00 ",FALSE,FALSE,4,200 Block of Winfield Street,94110,9,Bernal Heights,"(37.741633579562, -122.41912899617)",83,9,2,2,2,7,7,2,"28,859"
B151789,7/14/15,11/30/15,"$80,000.00 ",FALSE,TRUE,4,3500 Block of 24th Street,94110,8,Mission,"(37.752063998834, -122.42224208188)",52,3,5,20,19,4,5,2,"28,859"
B151889,7/15/15,1/13/17,"$40,175.63 ",FALSE,FALSE,2,1800 Block of 15th Street,94103,8,Mission,"(37.766432068053, -122.42473437673)",37,3,5,20,19,4,5,8,"28,853"
B151891,7/15/15,10/19/15,"$42,000.00 ",FALSE,FALSE,3,1200 Block of 22nd Avenue,94122,4,Sunset/Parkside,"(37.764360141456, -122.480472054533)",39,10,7,35,35,8,3,1,56
B151895,,7/16/15,"$25,874.00 ",FALSE,TRUE,4,1500 Block of Baker Street,94115,2,Presidio Heights,"(37.785283958956, -122.443344755862)",103,8,6,31,31,6,1,15,"29,490"
B151896,,7/16/15,"$75,329.00 ",FALSE,TRUE,1,200 Block of San Carlos Street,94110,9,Mission,"(37.759383293058, -122.41997716515)",53,3,2,20,19,4,7,2,"28,859"
B151897,7/16/15,7/28/15,"$150,000.00 ",FALSE,FALSE,2,0 Block of Cumberland Street,94110,8,Mission,"(37.759042049984, -122.424722931348)",37,3,5,20,19,4,5,2,"28,859"
B151902,7/17/15,2/5/16,"$50,361.14 ",FALSE,FALSE,2,300 Block of Capp Street,94110,9,Mission,"(37.761097151561, -122.418263705905)",53,3,2,20,19,4,7,2,"28,859"
B151903,7/20/15,9/8/15,"$1,750.00 ",FALSE,FALSE,1,100 Block of Rolph Street,94112,11,Excelsior,"(37.714440362236, -122.438766892777)",58,9,1,7,5,7,6,9,"28,861"
B151904,7/21/15,9/23/15,"$27,517.00 ",FALSE,FALSE,3,2700 Block of Diamond Street,94131,8,Glen Park,"(37.734786152666, -122.433850482384)",96,9,5,10,7,7,5,2,63
B151905,,7/21/15,"$11,500.00 ",FALSE,FALSE,1,400 Block of Warren Drive,94131,7,Inner Sunset,"(37.757976388584, -122.462011746779)",111,7,8,14,12,5,4,1,63
B151906,7/21/15,9/24/15,"$7,500.00 ",FALSE,TRUE,1,3600 Block of 19th Street,94110,8,Mission,"(37.759806799846, -122.425386497527)",37,3,5,20,19,4,5,2,"28,859"
B151907,7/21/15,11/20/15,"$45,068.80 ",FALSE,FALSE,2,100 Block of 26th Avenue,94121,2,Seacliff,"(37.786633001211, -122.486212276152)",1,8,6,33,33,6,1,11,55
B151911,7/24/15,10/16/15,"$20,000.00 ",FALSE,FALSE,1,1600 Block of Beach Street,94123,2,Marina,"(37.804585259458, -122.436256553091)",17,4,6,13,17,9,1,13,57
B151965,7/24/15,7/24/15,"$2,000.00 ",FALSE,FALSE,2,0 Block of Emery Lane,94133,3,Chinatown,"(37.798713995238, -122.409618331128)",106,6,3,6,4,1,10,3,308
B151967,7/24/15,10/14/15,"$29,500.00 ",FALSE,FALSE,2,200 Block of Diamond Street,94114,8,Castro/Upper Market,"(37.758352949647, -122.437031438772)",115,3,5,5,3,4,5,2,"28,862"
B151968,7/24/15,10/28/15,"$48,000.00 ",FALSE,FALSE,2,1300 Block of 12th Avenue,94122,5,Inner Sunset,"(37.762961983458, -122.469525974966)",109,10,11,14,12,8,11,1,56
B151971,7/27/15,9/24/15,"$5,657.50 ",FALSE,FALSE,2,2900 Block of Washington Street,94115,2,Pacific Heights,"(37.790593249105, -122.441808232843)",102,8,6,30,27,6,1,13,"29,490"
B151974,,7/27/15,"$30,000.00 ",FALSE,FALSE,2,0 Block of Eagle Street,94114,8,Castro/Upper Market,"(37.758265540946, -122.442897529977)",115,3,5,5,3,4,5,2,"28,862"
B151979,7/29/15,7/29/15,"$2,300.00 ",FALSE,FALSE,1,600 Block of Thornton Avenue,94124,10,Bayview Hunters Point,"(37.73142054426, -122.400734026219)",87,2,9,1,1,3,8,10,58
B151981,7/29/15,8/19/15,"$5,000.00 ",FALSE,TRUE,1,3200 Block of Market Street,94114,8,Castro/Upper Market,"(37.758575644517, -122.444740673114)",115,3,5,5,3,4,5,2,"28,862"
B151982,,7/29/15,"$30,000.00 ",FALSE,TRUE,2,900 Block of Ashbury Street,94117,8,Haight Ashbury,"(37.764691603088, -122.445790250946)",112,7,5,3,9,5,5,15,"29,492"
B151983,7/30/15,10/1/15,"$24,375.50 ",FALSE,TRUE,1,800 Block of Arguello Boulevard,94118,1,Inner Richmond,"(37.774771327734, -122.458472280276)",5,8,4,11,11,6,2,11,54
B151985,7/31/15,9/25/15,"$29,000.00 ",FALSE,TRUE,2,700 Block of Madrid Street,94112,11,Excelsior,"(37.717702198246, -122.435684591498)",90,9,1,7,5,7,6,9,"28,861"
B151998,7/31/15,9/25/15,"$17,000.00 ",FALSE,FALSE,2,700 Block of Madrid Street,94112,11,Excelsior,"(37.717702198246, -122.435684591498)",90,9,1,7,5,7,6,9,"28,861"
B152070,,8/6/15,"$33,298.59 ",FALSE,FALSE,1,3000 Block of Fillmore Street,94123,2,Marina,"(37.797546363784, -122.43565236707)",15,4,6,13,17,9,1,13,57
B152073,,8/7/15,"$50,000.00 ",FALSE,TRUE,4,0 Block of San Jose Avenue,94110,8,Mission,"(37.754065277275, -122.4215663195)",52,3,5,20,19,4,5,2,"28,859"
B152074,,8/7/15,,TRUE,FALSE,2,2100 Block of Pacific Avenue,94115,2,Pacific Heights,"(37.793926409642, -122.430637262697)",102,4,6,30,27,9,1,13,"29,490"
B152076,8/7/15,8/7/15,"$14,000.00 ",FALSE,TRUE,1,300 Block of Steiner Street,94117,5,Haight Ashbury,"(37.77235458032, -122.432254532613)",26,4,11,3,9,9,11,15,"29,492"
B152077,,8/7/15,"$4,000.00 ",FALSE,FALSE,2,0 Block of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.78148993865, -122.44332591489)",13,7,6,18,16,5,1,15,"29,490"
B152078,8/7/15,11/10/15,"$20,000.00 ",FALSE,TRUE,1,200 Block of San Jose Avenue,94110,8,Mission,"(37.751243964324, -122.421585334268)",53,3,5,20,19,4,5,2,"28,859"
B152079,,8/7/15,"$51,325.00 ",FALSE,FALSE,3,1900 Block of 15th Street,94114,8,Castro/Upper Market,"(37.766216889386, -122.42829350398)",37,3,5,5,3,4,5,8,"28,862"
B152250,8/10/15,10/8/15,"$20,354.00 ",FALSE,FALSE,2,900 Block of Judah Street,94122,7,Inner Sunset,"(37.761819307436, -122.472091115248)",109,10,8,14,12,8,4,1,56
B152253,,8/11/15,"$25,000.00 ",FALSE,FALSE,1,500 Block of Leavenworth Street,94109,6,Tenderloin,"(37.786059845334, -122.414643592587)",20,5,10,36,36,10,9,5,"28,852"
B152255,,8/12/15,"$40,000.00 ",FALSE,FALSE,2,1200 Block of 48th Avenue,94122,4,Sunset/Parkside,"(37.763130101351, -122.508334049767)",39,10,7,35,35,8,3,1,56
B152256,,8/13/15,"$20,000.00 ",FALSE,FALSE,2,1600 Block of Florida Street,94110,9,Bernal Heights,"(37.747182013495, -122.409228475773)",60,9,2,2,2,7,7,2,"28,859"
B152258,8/14/15,10/28/15,"$62,000.00 ",FALSE,FALSE,2,2200 Block of 15th  Street,94114,8,Castro/Upper Market,"(37.765739788651, -122.434358454096)",28,7,5,5,3,5,5,15,"28,862"
B152261,,8/14/15,"$35,000.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
B152262,8/17/15,8/21/15,"$40,000.00 ",FALSE,FALSE,1,1800 Block of 22nd Avenue,94122,4,Sunset/Parkside,"(37.753163589675, -122.479691469597)",39,10,7,35,35,8,3,1,56
B152264,8/18/15,11/17/15,"$69,500.00 ",FALSE,FALSE,1,2600 Block of Sacramento Street,94115,2,Pacific Heights,"(37.789579691979, -122.436506794631)",102,4,6,30,27,6,1,13,"29,490"
B152265,8/19/15,11/24/15,"$105,733.32 ",FALSE,FALSE,4,1100 Block of Shotwell Street,94110,9,Mission,"(37.750041587611, -122.414868812818)",53,3,2,20,19,4,7,2,"28,859"
B152268,8/20/15,8/20/15,"$5,000.00 ",FALSE,FALSE,1,1700 Block of 26th Avenue,94122,4,Sunset/Parkside,"(37.754840507541, -122.484108127485)",39,10,7,35,35,8,3,1,56
B152269,9/10/15,4/6/16,"$55,000.00 ",FALSE,TRUE,2,200 Block of 16th Avenue,94118,1,Outer Richmond,"(37.783391520814, -122.475234084038)",5,8,4,29,26,6,2,11,54
B152272,8/21/15,12/1/15,"$75,690.00 ",FALSE,FALSE,1,2600 Block of Mission Street,94110,9,Mission,"(37.754640937473, -122.418601779737)",53,3,2,20,19,4,7,2,"28,859"
B152274,8/24/15,12/1/15,"$30,000.00 ",FALSE,TRUE,1,600 Block of Capp Street,94110,9,Mission,"(37.756305875432, -122.417666463718)",53,3,2,20,19,4,7,2,"28,859"
B152279,,8/26/15,"$40,000.00 ",FALSE,FALSE,2,3700 Block of 16th Street,94114,8,Castro/Upper Market,"(37.763747423442, -122.436871167904)",113,7,5,5,3,5,5,15,"28,862"
B152280,8/27/15,2/9/16,"$8,950.00 ",FALSE,FALSE,1,0 Block of College Terrace,94112,8,Bernal Heights,"(37.734597981874, -122.426168703889)",93,9,5,2,2,7,5,2,"28,861"
B152282,9/1/15,12/22/15,"$89,518.33 ",FALSE,FALSE,4,900 Block of Valencia Street,94110,9,Mission,"(37.757305864794, -122.421086718243)",53,3,2,20,19,4,7,2,"28,859"
B152313,8/27/15,10/2/15,"$25,700.00 ",FALSE,FALSE,2,100 Block of Frederick Street,94117,5,Haight Ashbury,"(37.767428765432, -122.445149029157)",25,7,11,3,9,5,11,15,"29,492"
B152317,8/28/15,11/25/15,"$20,000.00 ",FALSE,FALSE,2,1900 Block of Fulton Street,94117,5,Lone Mountain/USF,"(37.775494949199, -122.4484478813)",24,7,11,18,16,5,11,15,"29,492"
B152318,8/28/15,10/21/15,"$5,551.00 ",FALSE,FALSE,1,3000 Block of Balboa Street,94121,1,Outer Richmond,"(37.775929598182, -122.491418998872)",8,8,4,29,26,6,2,11,55
B152418,,9/1/15,"$8,500.00 ",FALSE,FALSE,2,2900 Block of Mission Street,94110,9,Mission,"(37.74984462225, -122.418142583157)",53,3,2,20,19,4,7,2,"28,859"
B152467,9/4/15,10/27/15,"$45,600.00 ",FALSE,FALSE,2,700 Block of 44th Avenue,94121,1,Outer Richmond,"(37.774441994942, -122.504679223305)",8,8,4,29,26,6,2,11,55
B152469,,9/8/15,"$100,000.00 ",FALSE,FALSE,1,1900 Block of Union Street,94123,2,Marina,"(37.797609946692, -122.43183185795)",15,4,6,13,17,9,1,13,57
B152471,,9/8/15,"$48,500.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
B152474,9/14/15,11/19/15,"$5,000.00 ",FALSE,FALSE,1,0 Block of Adair Street,94103,9,Mission,"(37.765773954384, -122.418093215831)",53,3,2,20,19,4,7,8,"28,853"
B152475,,9/14/15,"$48,400.00 ",FALSE,FALSE,1,3800 Block of Cesar Chavez Street,94131,8,Noe Valley,"(37.747817860685, -122.425912008878)",52,3,5,22,22,4,5,2,63
B152476,9/11/15,9/11/15,"$6,083.76 ",FALSE,TRUE,1,500 Block of Dolores Street,94110,8,Mission,"(37.760637683614, -122.425843697547)",37,3,5,20,19,4,5,2,"28,859"
B152516,9/15/15,2/9/16,"$10,500.00 ",FALSE,FALSE,1,200 Block of Waller Street,94102,5,Hayes Valley,"(37.771433759863, -122.427780879822)",27,7,11,9,10,9,11,7,"28,852"
B152522,,9/8/15,"$48,500.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
B152523,9/17/15,12/28/15,"$40,082.70 ",FALSE,FALSE,1,300 Block of Lexington Street,94110,9,Mission,"(37.75775140358, -122.420353645248)",53,3,2,20,19,4,7,2,"28,859"
B152524,9/17/15,11/30/15,"$80,000.00 ",FALSE,FALSE,4,1000 Block of Church Street,94114,8,Noe Valley,"(37.754090126042, -122.427728377279)",52,3,5,22,22,4,5,2,"28,862"
B152526,9/18/15,11/25/15,"$32,500.00 ",FALSE,TRUE,5,100 Block of Raymond Avenue,94134,10,Visitacion Valley,"(37.712974703616, -122.406103308878)",75,9,9,40,39,7,8,9,309
B152551,9/21/15,11/23/15,"$40,000.00 ",FALSE,FALSE,2,500 Block of 22nd Avenue,94121,1,Outer Richmond,"(37.777383227703, -122.481244651927)",8,8,4,29,26,6,2,11,55
B152554,9/21/15,10/2/15,"$32,000.00 ",FALSE,FALSE,3,100 Block of Clearfield Drive,94132,7,Sunset/Parkside,"(37.73135995022, -122.49132183967)",43,10,8,35,35,8,4,1,64
B152584,9/24/15,2/23/16,"$30,000.00 ",FALSE,TRUE,2,300 Block of South Van Ness Avenue,94103,9,Mission,"(37.767609514424, -122.417654820048)",53,3,2,20,19,4,7,8,"28,853"
B152626,9/25/15,2/27/17,"$49,258.67 ",FALSE,FALSE,1,700 Block of 20th Avenue,94121,1,Outer Richmond,"(37.773750976342, -122.478835238597)",8,8,4,29,26,6,2,11,55
B152705,9/29/15,11/2/15,"$22,000.00 ",FALSE,FALSE,1,600 Block of 24th Avenue,94121,1,Outer Richmond,"(37.777285815305, -122.483388670951)",8,8,4,29,26,6,2,11,55
B152706,9/29/15,8/2/16,"$110,000.00 ",FALSE,FALSE,2,200 Block of 6th Avenue,94118,1,Inner Richmond,"(37.783868868987, -122.464419096323)",5,8,4,11,11,6,2,11,54
B152707,9/29/15,9/29/15,"$14,600.00 ",FALSE,FALSE,2,1900 Block of Broadway Street,94109,2,Pacific Heights,"(37.795054500846, -122.429177912371)",102,4,6,30,27,9,1,13,"28,858"
B152708,,9/16/15,"$10,000.00 ",FALSE,FALSE,1,200 Block of 27th Avenue,94121,2,Outer Richmond,"(37.784720301284, -122.487149444925)",2,8,6,29,26,6,1,11,55
B152709,,9/28/15,"$27,173.37 ",FALSE,FALSE,2,2400 Block of Buchanan Street,94115,2,Pacific Heights,"(37.792440182072, -122.431245878569)",102,4,6,30,27,9,1,13,"29,490"
B152710,,9/28/15,"$9,500.00 ",FALSE,FALSE,2,2400 Block of Buchanan Street,94115,2,Pacific Heights,"(37.792440182072, -122.431245878569)",102,4,6,30,27,9,1,13,"29,490"
B152721,,10/5/15,"$135,000.00 ",FALSE,FALSE,2,2000 Block of Pine Street,94115,5,Pacific Heights,"(37.78852692866, -122.429544952567)",102,4,11,30,27,9,11,13,"29,490"
B152729,10/6/15,1/13/16,"$20,000.00 ",FALSE,TRUE,1,100 Block of Stillings Avenue,94131,7,West of Twin Peaks,"(37.734615861265, -122.44365434557)",72,9,8,41,40,7,4,9,63
B152756,10/6/15,1/13/16,"$20,000.00 ",FALSE,TRUE,1,100 Block of Stillings Avenue,94131,7,West of Twin Peaks,"(37.734615861265, -122.44365434557)",72,9,8,41,40,7,4,9,63
B152757,10/6/15,1/7/16,"$26,500.00 ",FALSE,FALSE,1,2800 Block of Green Street,94123,2,Marina,"(37.794856433607, -122.445986627592)",14,4,6,13,17,9,1,13,57
B152761,10/7/15,3/1/16,"$100,000.00 ",FALSE,FALSE,1,300 Block of Douglass Street,94114,8,Twin Peaks,"(37.757631466138, -122.439122704907)",115,3,5,38,38,4,5,2,"28,862"
B152762,10/6/15,10/6/15,"$40,000.00 ",FALSE,TRUE,1,2400 Block of 47th Avenue,94116,4,Sunset/Parkside,"(37.740784648249, -122.505694431039)",39,10,7,35,35,8,3,1,"29,491"
B152767,10/8/15,12/18/15,"$38,200.00 ",FALSE,FALSE,1,3500 Block of 19th Street,94110,8,Mission,"(37.760021359168, -122.421836479978)",37,3,5,20,19,4,5,2,"28,859"
B152798,10/9/15,9/26/16,"$100,000.00 ",FALSE,TRUE,2,1400 Block of Potrero Avenue,94110,10,Mission,"(37.750481610374, -122.405740397556)",54,3,9,20,19,4,8,10,"28,859"
B152842,,10/13/15,"$31,250.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
B152843,,10/13/15,"$31,250.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
B152844,10/14/15,3/23/16,"$67,500.00 ",FALSE,FALSE,3,0 Block of Talbert Street,94134,10,Visitacion Valley,"(37.711213524668, -122.406059453177)",75,9,9,40,39,7,8,9,309
B152847,,10/14/15,"$29,500.00 ",FALSE,FALSE,1,2400 Block of Buchanan Street,94115,2,Pacific Heights,"(37.792440182072, -122.431245878569)",102,4,6,30,27,9,1,13,"29,490"
B152848,10/15/15,2/18/16,"$59,570.42 ",FALSE,FALSE,1,3100 Block of Mission Street,94110,9,Bernal Heights,"(37.746504038299, -122.419374719841)",83,9,2,2,2,7,7,2,"28,859"
B152849,10/15/15,12/23/15,"$20,000.00 ",FALSE,FALSE,2,2900 Block of Pacific Avenue,94115,2,Pacific Heights,"(37.79224704319, -122.443841350742)",102,8,6,30,27,6,1,13,"29,490"
B152850,10/15/15,1/4/16,"$35,000.00 ",FALSE,FALSE,2,0 Block of Alpine Terrace,94117,8,Haight Ashbury,"(37.769637600081, -122.437611176904)",112,7,5,3,9,5,5,15,"29,492"
B152890,10/19/15,12/15/15,"$20,000.00 ",FALSE,TRUE,2,1300 Block of Union Street,94109,2,Russian Hill,"(37.798920555278, -122.421523826472)",107,4,6,32,32,9,1,13,"28,858"
B152895,10/20/15,2/9/16,"$36,000.00 ",FALSE,FALSE,2,3900 Block of Quintara Street,94116,4,Sunset/Parkside,"(37.747205563278, -122.50742320185)",39,10,7,35,35,8,3,1,"29,491"
B152896,10/20/15,2/9/16,"$35,000.00 ",FALSE,FALSE,1,3900 Block of Quintara Street,94116,4,Sunset/Parkside,"(37.747205563278, -122.50742320185)",39,10,7,35,35,8,3,1,"29,491"
B152898,10/20/15,2/1/16,"$60,000.00 ",FALSE,FALSE,1,1100 Block of De Haro Street,94107,10,Potrero Hill,"(37.755910885772, -122.400678627271)",54,2,9,26,29,3,8,10,"28,856"
B152899,10/21/15,1/8/16,"$61,750.00 ",FALSE,FALSE,1,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.767057655689, -122.433439075678)",28,7,5,5,3,5,5,15,"28,862"
B152901,10/21/15,3/1/16,"$30,000.00 ",FALSE,FALSE,1,600 Block of 9th  Avenue,94118,1,Inner Richmond,"(37.776158473505, -122.467084259779)",5,8,4,11,11,6,2,11,54
B152902,10/22/15,12/28/15,"$27,000.00 ",FALSE,TRUE,4,1200 Block of 38th Avenue,94122,4,Sunset/Parkside,"(37.763601325316, -122.497619164553)",39,10,7,35,35,8,3,1,56
B152904,10/22/15,10/22/15,"$45,000.00 ",FALSE,TRUE,3,2200 Block of 43rd Avenue,94116,4,Sunset/Parkside,"(37.744711801232, -122.501671606959)",39,10,7,35,35,8,3,1,"29,491"
B152949,10/23/15,12/15/15,"$8,586.00 ",FALSE,FALSE,1,1000 Block of Eddy Street,94109,5,Western Addition,"(37.782321233948, -122.425763303361)",100,4,11,39,41,9,11,7,"28,858"
B152950,10/26/15,11/5/15,"$5,000.00 ",FALSE,TRUE,1,2400 Block of 46th Avenue,94116,4,Sunset/Parkside,"(37.740838696092, -122.504486029128)",39,10,7,35,35,8,3,1,"29,491"
B152952,,10/26/15,"$12,500.00 ",FALSE,FALSE,1,0 Block of Glover Street,94109,3,Nob Hill,"(37.797126687253, -122.416102200193)",107,6,3,21,21,1,10,5,"28,858"
B152987,10/27/15,1/12/16,"$48,500.00 ",FALSE,TRUE,2,200 Block of Jersey Street,94114,8,Noe Valley,"(37.750640417826, -122.430680031709)",84,3,5,22,22,4,5,2,"28,862"
B152988,10/27/15,2/22/16,"$10,000.00 ",FALSE,FALSE,2,200 Block of Jersey Street,94114,8,Noe Valley,"(37.750640417826, -122.430680031709)",84,3,5,22,22,4,5,2,"28,862"
B152993,10/28/15,1/22/16,"$50,000.00 ",FALSE,FALSE,2,3200 Block of Gough Street,94123,2,Marina,"(37.803250180942, -122.428373635935)",17,4,6,13,17,9,1,13,"28,858"
B152997,10/29/15,12/18/15,"$8,000.00 ",FALSE,FALSE,2,900 Block of Pine Street,94108,3,Nob Hill,"(37.790698768668, -122.411621210288)",50,6,3,21,21,1,10,5,"28,857"
B152998,10/29/15,12/18/15,"$7,000.00 ",FALSE,FALSE,2,0 Block of Harrington Street,94112,11,Outer Mission,"(37.725569922322, -122.435385085583)",94,9,1,28,25,7,6,9,"28,861"
B152999,10/29/15,1/4/16,"$25,000.00 ",FALSE,TRUE,2,2100 Block of 17th Avenue,94116,7,West of Twin Peaks,"(37.747809820642, -122.473811815211)",44,10,8,41,40,8,4,1,"29,491"
B153000,10/29/15,1/19/16,"$40,000.00 ",FALSE,FALSE,1,500 Block of London Street,94112,11,Excelsior,"(37.720457745585, -122.437030988136)",90,9,1,7,5,7,6,9,"28,861"
B153001,10/30/15,4/20/16,"$86,940.00 ",FALSE,FALSE,1,0 Block of Museum Way,94114,8,Castro/Upper Market,"(37.764517414666, -122.440219513713)",113,7,5,5,3,5,5,15,"28,862"
B153002,,10/26/15,"$76,981.35 ",FALSE,FALSE,5,500 Block of Waller Street,94117,5,Haight Ashbury,"(37.770966902605, -122.432321754736)",26,7,11,3,9,5,11,15,"29,492"
B153003,,10/26/15,"$88,292.50 ",FALSE,FALSE,4,500 Block of Waller Street,94117,5,Haight Ashbury,"(37.770966902605, -122.432321754736)",26,7,11,3,9,5,11,15,"29,492"
B153005,11/2/15,12/24/15,"$8,000.00 ",FALSE,FALSE,1,500 Block of 21st Avenue,94121,1,Outer Richmond,"(37.777425599541, -122.480311994704)",8,8,4,29,26,6,2,11,55
B153008,10/19/15,7/8/16,"$99,000.00 ",FALSE,FALSE,1,2100 Block of Taylor Street,94133,3,Russian Hill,"(37.80214615139, -122.414655119636)",107,6,3,32,32,1,10,5,308
B153010,,11/2/15,"$48,500.00 ",FALSE,FALSE,1,1000 Block of Pierce Street,94115,5,Western Addition,"(37.779381465353, -122.435357598678)",97,4,11,39,41,5,11,15,"29,490"
