Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv
B162789,,9/1/16,"$20,000.00 ",FALSE,TRUE,1,700 Block of Rhode Island Street,94107,10,Potrero Hill,"(37.760308806704, -122.402210445924)",54,2,9,26,29,3,8,10,"28,856"
B162790,9/1/16,11/7/16,"$15,000.00 ",FALSE,TRUE,1,100 Block of Haight Street,94102,5,Hayes Valley,"(37.772791620267, -122.424624269959)",27,4,11,9,10,9,11,7,"28,852"
B162792,9/1/16,10/28/16,$600.00 ,FALSE,FALSE,1,700 Block of Stanyan Street,94117,5,Haight Ashbury,"(37.767785058374, -122.453190198739)",29,7,11,3,9,5,11,15,"29,492"
B162793,9/1/16,11/2/16,"$20,000.00 ",FALSE,FALSE,1,1500 Block of Balboa Street,94118,1,Outer Richmond,"(37.776662437399, -122.475350817317)",5,8,4,29,26,6,2,11,54
B162796,9/6/16,11/3/16,"$30,000.00 ",FALSE,FALSE,2,100 Block of Teddy Avenue,94134,10,Visitacion Valley,"(37.714178804797, -122.405486548812)",75,9,9,40,39,7,8,9,309
B162853,9/7/16,11/18/16,"$35,000.00 ",FALSE,TRUE,2,4000 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.773682934327, -122.502002957284)",8,8,4,29,26,6,2,11,55
B162859,9/8/16,11/17/16,"$40,000.00 ",FALSE,FALSE,2,2500 Block of Polk Street,94109,2,Russian Hill,"(37.800167604342, -122.422550837706)",107,4,6,32,32,9,1,13,"28,858"
B162861,9/9/16,11/17/16,"$60,000.00 ",FALSE,TRUE,1,2100 Block of California Street,94115,5,Pacific Heights,"(37.789374886518, -122.429717207144)",102,4,11,30,27,9,11,13,"29,490"
B162862,9/9/16,3/2/17,"$60,000.00 ",FALSE,FALSE,2,800 Block of Hyde Street,94109,3,Nob Hill,"(37.788652789762, -122.41685368982)",50,6,3,21,21,1,10,13,"28,858"
B162864,9/12/16,2/6/17,"$57,400.00 ",FALSE,FALSE,3,1600 Block of 24th Avenue,94122,4,Sunset/Parkside,"(37.756798354102, -122.482094455461)",39,10,7,35,35,8,3,1,56
B162919,9/13/16,3/24/17,"$30,000.00 ",FALSE,FALSE,1,200 Block of Downey Street,94117,5,Haight Ashbury,"(37.765418257892, -122.446783639096)",114,7,11,3,9,5,11,15,"29,492"
B162925,9/15/16,11/23/16,"$75,000.00 ",FALSE,FALSE,2,3800 Block of 18th Street,94114,8,Castro/Upper Market,"(37.761277298987, -122.429469068506)",37,3,5,5,3,4,5,8,"28,862"
B162927,9/15/16,12/8/16,"$30,000.00 ",FALSE,FALSE,8,700 Block of Brazil Avenue,94112,11,Excelsior,"(37.721783293682, -122.428876482764)",90,9,1,7,5,7,6,9,"28,861"
B162929,9/16/16,11/21/16,"$39,757.13 ",FALSE,FALSE,1,400 Block of Linden Street,94102,5,Hayes Valley,"(37.776153506363, -122.425377176917)",22,4,11,9,10,9,11,7,"28,852"
B162936,9/16/16,11/8/16,"$20,000.00 ",FALSE,FALSE,1,1100 Block of Sanchez Street,94114,8,Noe Valley,"(37.751162020836, -122.429686576706)",84,3,5,22,22,4,5,2,"28,862"
B162937,9/19/16,11/18/16,"$52,500.00 ",FALSE,FALSE,2,1400 Block of Clement Street,94118,1,Outer Richmond,"(37.782538010531, -122.474677115828)",5,8,4,29,26,6,2,11,54
B162974,9/21/16,12/19/16,"$27,258.69 ",FALSE,FALSE,2,200 Block of Grand View Avenue,94114,8,Noe Valley,"(37.753719222792, -122.441407506124)",51,3,5,22,22,4,5,2,"28,862"
B162977,9/21/16,2/16/17,"$96,785.00 ",FALSE,TRUE,2,3900 Block of 26th Street,94131,8,Noe Valley,"(37.748483821874, -122.428239848114)",84,3,5,22,22,4,5,2,"28,862"
B162978,,9/21/16,"$19,390.00 ",FALSE,TRUE,1,1800 Block of Stockton Street,94133,3,North Beach,"(37.802778254669, -122.409586942105)",106,6,3,23,23,1,10,3,308
B162979,,9/21/16,"$10,000.00 ",FALSE,FALSE,1,0 Block of College Terrace,94112,8,Bernal Heights,"(37.734597981874, -122.426168703889)",93,9,5,2,2,7,5,2,"28,861"
B162980,,9/21/16,"$10,000.00 ",FALSE,FALSE,1,0 Block of College Terrace,94112,8,Bernal Heights,"(37.734597981874, -122.426168703889)",93,9,5,2,2,7,5,2,"28,861"
B163158,9/22/16,11/14/16,"$10,000.00 ",FALSE,FALSE,2,2000 Block of Broderick Street,94115,2,Pacific Heights,"(37.789230589567, -122.442318543029)",102,8,6,30,27,6,1,13,"29,490"
B163160,9/23/16,1/31/17,"$49,552.50 ",FALSE,FALSE,1,100 Block of Baker Street,94117,5,Haight Ashbury,"(37.772254695359, -122.440572356401)",112,7,11,3,9,5,11,15,"29,492"
B163164,9/26/16,9/26/16,"$38,000.00 ",FALSE,FALSE,2,0 Block of Brighton Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.719136183665, -122.4551840018)",64,10,1,24,24,8,6,9,"28,861"
B163165,9/26/16,7/19/17,"$10,000.00 ",FALSE,TRUE,1,1800 Block of Turk Street,94115,5,Western Addition,"(37.779494968816, -122.439556998155)",97,7,11,39,41,5,11,15,"29,490"
B163167,9/26/16,11/21/16,"$30,000.00 ",FALSE,FALSE,2,100 Block of Gladeview Way,94131,7,Twin Peaks,"(37.75203178419, -122.450511726423)",48,7,8,38,38,5,4,1,63
B163172,9/27/16,3/24/17,"$50,000.00 ",FALSE,TRUE,2,200 Block of Downey Street,94117,5,Haight Ashbury,"(37.765418257892, -122.446783639096)",114,7,11,3,9,5,11,15,"29,492"
B163178,9/28/16,4/10/17,"$85,000.00 ",FALSE,TRUE,2,100 Block of Haight Street,94102,5,Hayes Valley,"(37.772900089786, -122.424646169167)",26,4,11,9,10,9,11,7,"28,852"
B163180,,9/28/16,"$40,000.00 ",FALSE,TRUE,4,800 Block of York Street,94110,9,Mission,"(37.758467996571, -122.40879783772)",53,3,2,20,19,4,7,2,"28,859"
B163181,9/30/16,12/2/16,"$10,000.00 ",FALSE,FALSE,3,700 Block of Rolph Street,94112,11,Excelsior,"(37.711855116215, -122.431001018992)",58,9,1,7,5,7,6,9,"28,861"
B163186,10/3/16,1/11/17,"$12,000.00 ",FALSE,TRUE,2,300 Block of Buchanan Street,94102,5,Hayes Valley,"(37.772772496986, -122.427141201971)",26,4,11,9,10,9,11,7,"28,852"
B163188,10/3/16,3/20/17,"$75,000.00 ",FALSE,TRUE,2,100 Block of Wood Street,94118,1,Lone Mountain/USF,"(37.781521038792, -122.448987653708)",12,7,4,18,16,6,2,15,54
B163200,10/6/16,2/16/17,"$60,750.00 ",FALSE,FALSE,2,200 Block of Lincoln Way,94122,5,Inner Sunset,"(37.766087774671, -122.460552723843)",109,7,11,14,12,5,11,15,"29,492"
B163202,10/6/16,5/16/17,"$104,250.00 ",FALSE,FALSE,2,200 Block of Precita Avenue,94110,9,Bernal Heights,"(37.747374753984, -122.415501873961)",83,9,2,2,2,7,7,2,"28,859"
B163203,10/6/16,11/21/16,"$50,000.00 ",FALSE,FALSE,2,300 Block of Liberty Street,94114,8,Castro/Upper Market,"(37.757322453303, -122.429051968676)",52,3,5,5,3,4,5,2,"28,862"
B163282,10/7/16,12/14/16,"$25,000.00 ",FALSE,FALSE,1,1500 Block of Sacramento Street,94109,3,Nob Hill,"(37.791867606727, -122.418413462672)",16,6,3,21,21,1,10,5,"28,858"
