"business_id","score","date","type"
792,"96","20180123","routine"
792,"90","20161017","routine"
792,"85","20170713","routine"
792,"94","20160414","routine"
795,"98","20170104","routine"
795,"96","20160607","routine"
795,"96","20171025","routine"
795,"96","20180709","routine"
798,"96","20180523","routine"
798,"90","20160512","routine"
798,"83","20161209","routine"
798,"94","20171103","routine"
799,"100","20180612","routine"
799,"92","20160608","routine"
799,"98","20170920","routine"
811,"94","20170906","routine"
811,"96","20150928","routine"
816,"85","20170117","routine"
816,"87","20150819","routine"
824,"77","20180613","routine"
824,"76","20160602","routine"
824,"80","20161103","routine"
824,"71","20170621","routine"
826,"83","20160523","routine"
826,"90","20170724","routine"
827,"84","20170302","routine"
827,"85","20180125","routine"
827,"84","20160620","routine"
830,"82","20160728","routine"
830,"85","20170321","routine"
830,"85","20180322","routine"
830,"84","20150730","routine"
835,"86","20171114","routine"
835,"77","20160106","routine"
835,"81","20160613","routine"
840,"81","20151028","routine"
840,"87","20170620","routine"
845,"98","20180202","routine"
845,"94","20160729","routine"
847,"87","20160517","routine"
847,"92","20180123","routine"
852,"74","20160830","routine"
852,"83","20171129","routine"
854,"82","20160614","routine"
854,"79","20180418","routine"
856,"92","20171018","routine"
856,"93","20151014","routine"
856,"96","20180510","routine"
856,"94","20160707","routine"
874,"96","20160406","routine"
874,"85","20170908","routine"
874,"90","20180521","routine"
874,"94","20161012","routine"
876,"83","20170511","routine"
876,"83","20160518","routine"
876,"86","20180531","routine"
880,"61","20160426","routine"
880,"84","20161011","routine"
880,"88","20171130","routine"
884,"92","20171206","routine"
884,"83","20161005","routine"
884,"86","20160309","routine"
884,"77","20151210","routine"
886,"96","20161228","routine"
886,"100","20180212","routine"
886,"94","20151120","routine"
891,"76","20160503","routine"
891,"92","20161024","routine"
891,"96","20171228","routine"
892,"77","20160519","routine"
892,"87","20170815","routine"
902,"100","20180619","routine"
902,"96","20150825","routine"
902,"94","20170630","routine"
903,"91","20171211","routine"
903,"90","20160630","routine"
905,"96","20171212","routine"
905,"98","20160921","routine"
905,"94","20150903","routine"
911,"94","20180409","routine"
911,"96","20170112","routine"
911,"92","20150916","routine"
917,"96","20150814","routine"
917,"96","20160902","routine"
917,"100","20180509","routine"
919,"96","20180425","routine"
919,"92","20160330","routine"
919,"96","20170410","routine"
920,"92","20170410","routine"
920,"100","20180425","routine"
920,"100","20160330","routine"
929,"98","20160622","routine"
935,"83","20180301","routine"
935,"92","20171023","routine"
935,"100","20160919","routine"
935,"85","20150928","routine"
941,"92","20160804","routine"
941,"96","20180330","routine"
943,"87","20161104","routine"
943,"76","20180426","routine"
949,"93","20180607","routine"
949,"100","20160209","routine"
949,"94","20170425","routine"
950,"92","20160531","routine"
950,"85","20161214","routine"
950,"96","20170911","routine"
951,"88","20160426","routine"
951,"92","20150828","routine"
952,"81","20180628","routine"
952,"89","20160427","routine"
952,"88","20170913","routine"
952,"88","20161031","routine"
961,"94","20160912","routine"
961,"96","20171103","routine"
961,"92","20151030","routine"
972,"90","20171114","routine"
972,"83","20160510","routine"
972,"83","20161109","routine"
984,"87","20160613","routine"
984,"65","20170726","routine"
984,"82","20180515","routine"
985,"79","20160614","routine"
985,"67","20170810","routine"
985,"74","20180712","routine"
994,"100","20160219","routine"
994,"96","20171010","routine"
994,"88","20160810","routine"
999,"80","20180123","routine"
999,"77","20170714","routine"
999,"81","20160503","routine"
1000,"76","20180523","routine"
1000,"74","20171002","routine"
1000,"81","20160919","routine"
1002,"90","20160217","routine"
1002,"90","20160929","routine"
1002,"85","20170928","routine"
